value,function_name,node_name,replica_id
deploy,resnet50-inference,nx_10,139834580740192
deploy,speech-inference,rockpi_30,139834580741056
deploy,resnet50-preprocessing,rockpi_30,139834580996000
deploy,resnet50-training,nano_3,139834580996960
deploy,python-pi,rockpi_8,139834580997920
deploy,fio,rpi3_3,139834580998880
startup,fio,rpi3_3,139834580998880
setup,fio,rpi3_3,139834580998880
finish,fio,rpi3_3,139834580998880
startup,python-pi,rockpi_8,139834580997920
setup,python-pi,rockpi_8,139834580997920
finish,python-pi,rockpi_8,139834580997920
startup,speech-inference,rockpi_30,139834580741056
setup,speech-inference,rockpi_30,139834580741056
startup,resnet50-inference,nx_10,139834580740192
setup,resnet50-inference,nx_10,139834580740192
startup,resnet50-training,nano_3,139834580996960
setup,resnet50-training,nano_3,139834580996960
finish,resnet50-training,nano_3,139834580996960
finish,speech-inference,rockpi_30,139834580741056
finish,resnet50-inference,nx_10,139834580740192
startup,resnet50-preprocessing,rockpi_30,139834580996000
setup,resnet50-preprocessing,rockpi_30,139834580996000
finish,resnet50-preprocessing,rockpi_30,139834580996000
deploy,resnet50-inference,nx_3,139834578809760
deploy,python-pi,rockpi_8,139834579100592
startup,python-pi,rockpi_8,139834579100592
setup,python-pi,rockpi_8,139834579100592
finish,python-pi,rockpi_8,139834579100592
startup,resnet50-inference,nx_3,139834578809760
setup,resnet50-inference,nx_3,139834578809760
finish,resnet50-inference,nx_3,139834578809760
deploy,resnet50-inference,nano_17,139834579315936
deploy,python-pi,nx_10,139834576469056
deploy,fio,rpi3_3,139834576469920
startup,fio,rpi3_3,139834576469920
setup,fio,rpi3_3,139834576469920
finish,fio,rpi3_3,139834576469920
startup,python-pi,nx_10,139834576469056
setup,python-pi,nx_10,139834576469056
finish,python-pi,nx_10,139834576469056
startup,resnet50-inference,nano_17,139834579315936
setup,resnet50-inference,nano_17,139834579315936
finish,resnet50-inference,nano_17,139834579315936
deploy,resnet50-inference,nano_15,139834576167232
deploy,resnet50-training,nano_26,139834574278752
deploy,python-pi,coral_1,139834574280000
deploy,fio,rpi3_4,139834574280768
startup,fio,rpi3_4,139834574280768
setup,fio,rpi3_4,139834574280768
finish,fio,rpi3_4,139834574280768
startup,python-pi,coral_1,139834574280000
setup,python-pi,coral_1,139834574280000
finish,python-pi,coral_1,139834574280000
startup,resnet50-inference,nano_15,139834576167232
setup,resnet50-inference,nano_15,139834576167232
startup,resnet50-training,nano_26,139834574278752
setup,resnet50-training,nano_26,139834574278752
finish,resnet50-training,nano_26,139834574278752
finish,resnet50-inference,nano_15,139834576167232
