timestamp,strategy,deployment,action,old_replica_count,new_replica_count,selected_node,selected_node_type,current_load_rps,avg_response_time_ms,reason,scaling_direction
5,StandardFirstFitBinPacker,resnet50-inference,scale_up,1,2,nuc_0,nuc,0.0,876.5516249936617,,1
5,StandardFirstFitBinPacker,speech-inference,no_action,1,1,,,2.4,0.0,Within thresholds,0
5,StandardFirstFitBinPacker,resnet50-preprocessing,no_action,1,1,,,0.8,0.0,Within thresholds,0
5,StandardFirstFitBinPacker,resnet50-training,no_action,1,1,,,6.4,0.0,Within thresholds,0
5,StandardFirstFitBinPacker,python-pi,scale_up,1,2,nuc_0,nuc,0.0,1297.9757499830039,,1
5,StandardFirstFitBinPacker,fio,no_action,1,1,,,13.6,0.0,Within thresholds,0
10,StandardFirstFitBinPacker,resnet50-inference,scale_up,2,3,nuc_0,nuc,0.0,0.0,,1
10,StandardFirstFitBinPacker,speech-inference,no_action,1,1,,,5.2,0.0,Within thresholds,0
10,StandardFirstFitBinPacker,resnet50-preprocessing,no_action,1,1,,,1.6,0.0,Within thresholds,0
10,StandardFirstFitBinPacker,resnet50-training,no_action,1,1,,,13.8,0.0,Within thresholds,0
10,StandardFirstFitBinPacker,python-pi,scale_up,2,3,nuc_0,nuc,0.0,0.0,,1
10,StandardFirstFitBinPacker,fio,scale_up,1,2,nuc_0,nuc,0.0,0.0,,1
15,StandardFirstFitBinPacker,resnet50-inference,scale_up,3,4,nuc_0,nuc,0.0,0.0,,1
15,StandardFirstFitBinPacker,speech-inference,no_action,1,1,,,5.6,0.0,Within thresholds,0
15,StandardFirstFitBinPacker,resnet50-preprocessing,no_action,1,1,,,2.0,0.0,Within thresholds,0
15,StandardFirstFitBinPacker,resnet50-training,scale_up,1,2,nano_15,nano,0.0,0.0,,1
15,StandardFirstFitBinPacker,python-pi,scale_up,3,4,nuc_0,nuc,0.0,0.0,,1
15,StandardFirstFitBinPacker,fio,scale_up,2,3,nuc_0,nuc,0.0,0.0,,1
20,StandardFirstFitBinPacker,resnet50-inference,scale_up,4,5,nuc_0,nuc,0.0,0.0,,1
20,StandardFirstFitBinPacker,speech-inference,no_action,1,1,,,6.0,0.0,Within thresholds,0
20,StandardFirstFitBinPacker,resnet50-preprocessing,no_action,1,1,,,2.0,0.0,Within thresholds,0
20,StandardFirstFitBinPacker,resnet50-training,scale_up,2,3,nano_18,nano,0.0,0.0,,1
20,StandardFirstFitBinPacker,python-pi,scale_up,4,5,nuc_0,nuc,0.0,0.0,,1
20,StandardFirstFitBinPacker,fio,scale_up,3,4,nuc_0,nuc,0.0,0.0,,1
25,StandardFirstFitBinPacker,resnet50-inference,scale_up,5,6,nuc_0,nuc,0.0,0.0,,1
25,StandardFirstFitBinPacker,speech-inference,no_action,1,1,,,6.6,0.0,Within thresholds,0
25,StandardFirstFitBinPacker,resnet50-preprocessing,no_action,1,1,,,2.2,0.0,Within thresholds,0
25,StandardFirstFitBinPacker,resnet50-training,scale_up,3,4,nano_19,nano,0.0,0.0,,1
25,StandardFirstFitBinPacker,python-pi,scale_up,5,6,nuc_0,nuc,0.0,0.0,,1
25,StandardFirstFitBinPacker,fio,scale_up,4,5,nuc_0,nuc,0.0,0.0,,1
30,StandardFirstFitBinPacker,resnet50-inference,scale_up,6,7,nuc_0,nuc,0.0,0.0,,1
30,StandardFirstFitBinPacker,speech-inference,no_action,1,1,,,7.0,0.0,Within thresholds,0
30,StandardFirstFitBinPacker,resnet50-preprocessing,no_action,1,1,,,2.2,0.0,Within thresholds,0
30,StandardFirstFitBinPacker,resnet50-training,scale_up,4,5,nano_9,nano,0.0,0.0,,1
30,StandardFirstFitBinPacker,python-pi,scale_up,6,7,nuc_0,nuc,0.0,0.0,,1
30,StandardFirstFitBinPacker,fio,scale_up,5,6,nuc_0,nuc,0.0,0.0,,1
35,StandardFirstFitBinPacker,resnet50-inference,scale_up,7,8,nuc_0,nuc,0.0,0.0,,1
35,StandardFirstFitBinPacker,speech-inference,no_action,1,1,,,7.2,0.0,Within thresholds,0
35,StandardFirstFitBinPacker,resnet50-preprocessing,no_action,1,1,,,2.4,0.0,Within thresholds,0
35,StandardFirstFitBinPacker,resnet50-training,scale_up,5,6,nano_21,nano,0.0,0.0,,1
35,StandardFirstFitBinPacker,python-pi,scale_up,7,8,nuc_0,nuc,0.0,0.0,,1
35,StandardFirstFitBinPacker,fio,scale_up,6,7,nuc_0,nuc,0.0,0.0,,1
40,StandardFirstFitBinPacker,resnet50-inference,scale_up,8,9,nuc_0,nuc,0.0,2004.881685620569,,1
40,StandardFirstFitBinPacker,speech-inference,no_action,1,1,,,7.8,0.0,Within thresholds,0
40,StandardFirstFitBinPacker,resnet50-preprocessing,no_action,1,1,,,2.6,0.0,Within thresholds,0
40,StandardFirstFitBinPacker,resnet50-training,scale_up,6,7,nano_20,nano,0.0,0.0,,1
40,StandardFirstFitBinPacker,python-pi,scale_up,8,9,nuc_0,nuc,0.0,13647.801409713287,,1
40,StandardFirstFitBinPacker,fio,scale_up,7,8,nuc_0,nuc,0.0,0.0,,1
45,StandardFirstFitBinPacker,resnet50-inference,scale_up,9,10,nuc_0,nuc,0.0,0.0,,1
45,StandardFirstFitBinPacker,speech-inference,no_action,1,1,,,8.0,0.0,Within thresholds,0
45,StandardFirstFitBinPacker,resnet50-preprocessing,no_action,1,1,,,2.6,0.0,Within thresholds,0
45,StandardFirstFitBinPacker,resnet50-training,scale_up,7,8,nano_22,nano,0.0,0.0,,1
45,StandardFirstFitBinPacker,python-pi,scale_up,9,10,nuc_0,nuc,0.0,0.0,,1
45,StandardFirstFitBinPacker,fio,scale_up,8,9,nuc_0,nuc,0.0,0.0,,1
50,StandardFirstFitBinPacker,resnet50-inference,scale_up,10,11,nuc_0,nuc,0.0,0.0,,1
50,StandardFirstFitBinPacker,speech-inference,no_action,1,1,,,8.2,0.0,Within thresholds,0
50,StandardFirstFitBinPacker,resnet50-preprocessing,no_action,1,1,,,2.8,0.0,Within thresholds,0
50,StandardFirstFitBinPacker,resnet50-training,scale_up,8,9,nano_11,nano,0.0,0.0,,1
50,StandardFirstFitBinPacker,python-pi,scale_up,10,11,nuc_0,nuc,0.0,0.0,,1
50,StandardFirstFitBinPacker,fio,scale_up,9,10,nuc_0,nuc,0.0,0.0,,1
55,StandardFirstFitBinPacker,resnet50-inference,scale_up,11,12,nuc_0,nuc,0.0,0.0,,1
