timestamp,strategy,deployment,current_replicas,current_load_rps,avg_response_time_ms,evaluation_type
5,StandardFirstFitBinPacker,resnet50-inference,1,11.2,876.5516249936617,scaling_check
5,StandardFirstFitBinPacker,speech-inference,1,2.4,0.0,scaling_check
5,StandardFirstFitBinPacker,resnet50-preprocessing,1,0.8,0.0,scaling_check
5,StandardFirstFitBinPacker,resnet50-training,1,6.4,0.0,scaling_check
5,StandardFirstFitBinPacker,python-pi,1,13.6,1297.9757499830039,scaling_check
5,StandardFirstFitBinPacker,fio,1,13.6,0.0,scaling_check
10,StandardFirstFitBinPacker,resnet50-inference,2,24.2,0.0,scaling_check
10,StandardFirstFitBinPacker,speech-inference,1,5.2,0.0,scaling_check
10,StandardFirstFitBinPacker,resnet50-preprocessing,1,1.6,0.0,scaling_check
10,StandardFirstFitBinPacker,resnet50-training,1,13.8,0.0,scaling_check
10,StandardFirstFitBinPacker,python-pi,2,29.6,0.0,scaling_check
10,StandardFirstFitBinPacker,fio,1,29.6,0.0,scaling_check
15,StandardFirstFitBinPacker,resnet50-inference,3,26.6,0.0,scaling_check
15,StandardFirstFitBinPacker,speech-inference,1,5.6,0.0,scaling_check
15,StandardFirstFitBinPacker,resnet50-preprocessing,1,2.0,0.0,scaling_check
15,StandardFirstFitBinPacker,resnet50-training,1,15.2,0.0,scaling_check
15,StandardFirstFitBinPacker,python-pi,3,32.0,0.0,scaling_check
15,StandardFirstFitBinPacker,fio,2,32.0,0.0,scaling_check
20,StandardFirstFitBinPacker,resnet50-inference,4,28.4,0.0,scaling_check
20,StandardFirstFitBinPacker,speech-inference,1,6.0,0.0,scaling_check
20,StandardFirstFitBinPacker,resnet50-preprocessing,1,2.0,0.0,scaling_check
20,StandardFirstFitBinPacker,resnet50-training,2,16.2,0.0,scaling_check
20,StandardFirstFitBinPacker,python-pi,4,34.6,0.0,scaling_check
20,StandardFirstFitBinPacker,fio,3,34.6,0.0,scaling_check
25,StandardFirstFitBinPacker,resnet50-inference,5,30.6,0.0,scaling_check
25,StandardFirstFitBinPacker,speech-inference,1,6.6,0.0,scaling_check
25,StandardFirstFitBinPacker,resnet50-preprocessing,1,2.2,0.0,scaling_check
25,StandardFirstFitBinPacker,resnet50-training,3,17.4,0.0,scaling_check
25,StandardFirstFitBinPacker,python-pi,5,37.2,0.0,scaling_check
25,StandardFirstFitBinPacker,fio,4,37.2,0.0,scaling_check
30,StandardFirstFitBinPacker,resnet50-inference,6,32.4,0.0,scaling_check
30,StandardFirstFitBinPacker,speech-inference,1,7.0,0.0,scaling_check
30,StandardFirstFitBinPacker,resnet50-preprocessing,1,2.2,0.0,scaling_check
30,StandardFirstFitBinPacker,resnet50-training,4,18.6,0.0,scaling_check
30,StandardFirstFitBinPacker,python-pi,6,39.2,0.0,scaling_check
30,StandardFirstFitBinPacker,fio,5,39.2,0.0,scaling_check
35,StandardFirstFitBinPacker,resnet50-inference,7,34.2,0.0,scaling_check
35,StandardFirstFitBinPacker,speech-inference,1,7.2,0.0,scaling_check
35,StandardFirstFitBinPacker,resnet50-preprocessing,1,2.4,0.0,scaling_check
35,StandardFirstFitBinPacker,resnet50-training,5,19.6,0.0,scaling_check
35,StandardFirstFitBinPacker,python-pi,7,41.6,0.0,scaling_check
35,StandardFirstFitBinPacker,fio,6,41.6,0.0,scaling_check
40,StandardFirstFitBinPacker,resnet50-inference,8,35.8,2004.881685620569,scaling_check
40,StandardFirstFitBinPacker,speech-inference,1,7.8,0.0,scaling_check
40,StandardFirstFitBinPacker,resnet50-preprocessing,1,2.6,0.0,scaling_check
40,StandardFirstFitBinPacker,resnet50-training,6,20.4,0.0,scaling_check
40,StandardFirstFitBinPacker,python-pi,8,43.6,13647.801409713287,scaling_check
40,StandardFirstFitBinPacker,fio,7,43.6,0.0,scaling_check
45,StandardFirstFitBinPacker,resnet50-inference,9,37.4,0.0,scaling_check
45,StandardFirstFitBinPacker,speech-inference,1,8.0,0.0,scaling_check
45,StandardFirstFitBinPacker,resnet50-preprocessing,1,2.6,0.0,scaling_check
45,StandardFirstFitBinPacker,resnet50-training,7,21.4,0.0,scaling_check
45,StandardFirstFitBinPacker,python-pi,9,45.2,0.0,scaling_check
45,StandardFirstFitBinPacker,fio,8,45.2,0.0,scaling_check
50,StandardFirstFitBinPacker,resnet50-inference,10,38.6,0.0,scaling_check
50,StandardFirstFitBinPacker,speech-inference,1,8.2,0.0,scaling_check
50,StandardFirstFitBinPacker,resnet50-preprocessing,1,2.8,0.0,scaling_check
50,StandardFirstFitBinPacker,resnet50-training,8,22.0,0.0,scaling_check
50,StandardFirstFitBinPacker,python-pi,10,47.0,0.0,scaling_check
50,StandardFirstFitBinPacker,fio,9,47.0,0.0,scaling_check
55,StandardFirstFitBinPacker,resnet50-inference,11,39.6,0.0,scaling_check
55,StandardFirstFitBinPacker,speech-inference,1,8.6,0.0,scaling_check
55,StandardFirstFitBinPacker,resnet50-preprocessing,1,2.8,0.0,scaling_check
55,StandardFirstFitBinPacker,resnet50-training,9,22.6,0.0,scaling_check
55,StandardFirstFitBinPacker,python-pi,11,48.2,0.0,scaling_check
55,StandardFirstFitBinPacker,fio,10,48.2,0.0,scaling_check
60,StandardFirstFitBinPacker,resnet50-inference,12,40.6,0.0,scaling_check
60,StandardFirstFitBinPacker,speech-inference,1,8.6,0.0,scaling_check
60,StandardFirstFitBinPacker,resnet50-preprocessing,1,3.0,0.0,scaling_check
60,StandardFirstFitBinPacker,resnet50-training,10,23.2,0.0,scaling_check
60,StandardFirstFitBinPacker,python-pi,12,49.2,0.0,scaling_check
60,StandardFirstFitBinPacker,fio,11,49.2,0.0,scaling_check
65,StandardFirstFitBinPacker,resnet50-inference,13,41.4,0.0,scaling_check
65,StandardFirstFitBinPacker,speech-inference,1,8.8,0.0,scaling_check
65,StandardFirstFitBinPacker,resnet50-preprocessing,1,3.0,0.0,scaling_check
65,StandardFirstFitBinPacker,resnet50-training,11,23.6,0.0,scaling_check
65,StandardFirstFitBinPacker,python-pi,13,50.2,0.0,scaling_check
65,StandardFirstFitBinPacker,fio,12,50.2,0.0,scaling_check
70,StandardFirstFitBinPacker,resnet50-inference,14,41.6,0.0,scaling_check
70,StandardFirstFitBinPacker,speech-inference,1,9.0,0.0,scaling_check
70,StandardFirstFitBinPacker,resnet50-preprocessing,1,2.8,0.0,scaling_check
70,StandardFirstFitBinPacker,resnet50-training,12,23.8,0.0,scaling_check
70,StandardFirstFitBinPacker,python-pi,14,50.6,0.0,scaling_check
70,StandardFirstFitBinPacker,fio,13,50.6,0.0,scaling_check
75,StandardFirstFitBinPacker,resnet50-inference,15,42.0,633.0581403407912,scaling_check
75,StandardFirstFitBinPacker,speech-inference,1,9.0,0.0,scaling_check
75,StandardFirstFitBinPacker,resnet50-preprocessing,1,3.0,0.0,scaling_check
75,StandardFirstFitBinPacker,resnet50-training,13,24.0,0.0,scaling_check
75,StandardFirstFitBinPacker,python-pi,15,51.0,14820.651368630877,scaling_check
75,StandardFirstFitBinPacker,fio,14,51.0,0.0,scaling_check
80,StandardFirstFitBinPacker,resnet50-inference,16,42.0,0.0,scaling_check
80,StandardFirstFitBinPacker,speech-inference,1,9.0,0.0,scaling_check
80,StandardFirstFitBinPacker,resnet50-preprocessing,1,3.0,0.0,scaling_check
80,StandardFirstFitBinPacker,resnet50-training,14,24.0,0.0,scaling_check
80,StandardFirstFitBinPacker,python-pi,16,51.0,0.0,scaling_check
80,StandardFirstFitBinPacker,fio,15,51.0,0.0,scaling_check
85,StandardFirstFitBinPacker,resnet50-inference,17,41.6,0.0,scaling_check
85,StandardFirstFitBinPacker,speech-inference,1,9.0,0.0,scaling_check
85,StandardFirstFitBinPacker,resnet50-preprocessing,1,3.0,0.0,scaling_check
85,StandardFirstFitBinPacker,resnet50-training,15,23.8,0.0,scaling_check
85,StandardFirstFitBinPacker,python-pi,17,50.6,0.0,scaling_check
85,StandardFirstFitBinPacker,fio,16,50.6,0.0,scaling_check
90,StandardFirstFitBinPacker,resnet50-inference,18,41.4,0.0,scaling_check
90,StandardFirstFitBinPacker,speech-inference,1,8.8,0.0,scaling_check
90,StandardFirstFitBinPacker,resnet50-preprocessing,1,3.0,0.0,scaling_check
90,StandardFirstFitBinPacker,resnet50-training,16,23.6,0.0,scaling_check
90,StandardFirstFitBinPacker,python-pi,18,50.2,0.0,scaling_check
90,StandardFirstFitBinPacker,fio,17,50.2,0.0,scaling_check
95,StandardFirstFitBinPacker,resnet50-inference,19,40.6,0.0,scaling_check
95,StandardFirstFitBinPacker,speech-inference,1,8.6,0.0,scaling_check
95,StandardFirstFitBinPacker,resnet50-preprocessing,1,3.0,0.0,scaling_check
95,StandardFirstFitBinPacker,resnet50-training,17,23.2,0.0,scaling_check
95,StandardFirstFitBinPacker,python-pi,19,49.2,0.0,scaling_check
95,StandardFirstFitBinPacker,fio,18,49.2,0.0,scaling_check
100,StandardFirstFitBinPacker,resnet50-inference,20,39.6,0.0,scaling_check
100,StandardFirstFitBinPacker,speech-inference,1,8.6,0.0,scaling_check
100,StandardFirstFitBinPacker,resnet50-preprocessing,1,2.8,0.0,scaling_check
100,StandardFirstFitBinPacker,resnet50-training,18,22.8,0.0,scaling_check
100,StandardFirstFitBinPacker,python-pi,20,48.2,0.0,scaling_check
100,StandardFirstFitBinPacker,fio,19,48.2,0.0,scaling_check
105,StandardFirstFitBinPacker,resnet50-inference,21,38.6,0.0,scaling_check
105,StandardFirstFitBinPacker,speech-inference,1,8.2,0.0,scaling_check
105,StandardFirstFitBinPacker,resnet50-preprocessing,1,2.8,0.0,scaling_check
105,StandardFirstFitBinPacker,resnet50-training,19,22.0,0.0,scaling_check
105,StandardFirstFitBinPacker,python-pi,21,46.8,0.0,scaling_check
105,StandardFirstFitBinPacker,fio,20,46.8,0.0,scaling_check
110,StandardFirstFitBinPacker,resnet50-inference,22,37.4,628.7717257270137,scaling_check
110,StandardFirstFitBinPacker,speech-inference,1,8.0,87500.75300204539,scaling_check
110,StandardFirstFitBinPacker,resnet50-preprocessing,1,2.6,0.0,scaling_check
110,StandardFirstFitBinPacker,resnet50-training,20,21.4,0.0,scaling_check
