value,function_name,image,replica_id,node_name,successful
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,139834580740192,,
queue,speech-inference,faas-workloads/speech-inference-tflite,139834580741056,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,139834580740192,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,139834580740192,nx_10,True
queue,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139834580996000,,
queue,resnet50-training,faas-workloads/resnet-training-gpu,139834580996960,,
queue,python-pi,faas-workloads/python-pi,139834580997920,,
queue,fio,faas-workloads/fio,139834580998880,,
start,speech-inference,faas-workloads/speech-inference-tflite,139834580741056,,
finish,speech-inference,faas-workloads/speech-inference-tflite,139834580741056,rockpi_30,True
start,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139834580996000,,
finish,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139834580996000,rockpi_30,True
start,resnet50-training,faas-workloads/resnet-training-gpu,139834580996960,,
finish,resnet50-training,faas-workloads/resnet-training-gpu,139834580996960,nano_3,True
start,python-pi,faas-workloads/python-pi,139834580997920,,
finish,python-pi,faas-workloads/python-pi,139834580997920,rockpi_8,True
start,fio,faas-workloads/fio,139834580998880,,
finish,fio,faas-workloads/fio,139834580998880,rpi3_3,True
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,139834578809760,,
queue,python-pi,faas-workloads/python-pi,139834579100592,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,139834578809760,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,139834578809760,nx_3,True
start,python-pi,faas-workloads/python-pi,139834579100592,,
finish,python-pi,faas-workloads/python-pi,139834579100592,rockpi_8,True
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,139834579315936,,
queue,python-pi,faas-workloads/python-pi,139834576469056,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,139834579315936,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,139834579315936,nano_17,True
queue,fio,faas-workloads/fio,139834576469920,,
start,python-pi,faas-workloads/python-pi,139834576469056,,
finish,python-pi,faas-workloads/python-pi,139834576469056,nx_10,True
start,fio,faas-workloads/fio,139834576469920,,
finish,fio,faas-workloads/fio,139834576469920,rpi3_3,True
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,139834576167232,,
queue,resnet50-training,faas-workloads/resnet-training-gpu,139834574278752,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,139834576167232,,
