deployment_name,timestamp,avg_response_time,avg_execution_time,avg_wait_time,wait_percentage,high_wait_count,sample_count
resnet50-inference,5,376.0578486470716,376.0578486470716,0.0,0.0,0,9
python-pi,5,994.2876697364502,916.1176113570543,78.170058379396,7.8619156969045045,3,7
python-pi,5,994.2876697364502,916.1176113570543,78.170058379396,7.8619156969045045,3,7
resnet50-inference,10,376.0578486470716,376.0578486470716,0.0,0.0,0,9
python-pi,10,994.2876697364502,916.1176113570543,78.170058379396,7.8619156969045045,3,7
python-pi,10,994.2876697364502,916.1176113570543,78.170058379396,7.8619156969045045,3,7
resnet50-inference,40,386.97320781080356,386.97320781080356,0.0,0.0,0,73
speech-inference,40,11406.662533786317,3819.9207251408725,7586.741808645444,66.51149524388627,7,7
speech-inference,40,11406.662533786317,3819.9207251408725,7586.741808645444,66.51149524388627,7,7
python-pi,40,1050.2965901207226,1038.555221448464,11.741368672258476,1.117909815446407,3,83
python-pi,40,1050.2965901207226,1038.555221448464,11.741368672258476,1.117909815446407,3,83
resnet50-inference,45,387.1750700283554,387.1750700283554,0.0,0.0,0,36
speech-inference,45,12364.22640107329,3746.589612828956,8617.636788244334,69.69814777490868,1,1
speech-inference,45,12364.22640107329,3746.589612828956,8617.636788244334,69.69814777490868,1,1
python-pi,45,1050.623746632058,1027.0635340168328,23.56021261522512,2.242497629693897,3,37
python-pi,45,1050.623746632058,1027.0635340168328,23.56021261522512,2.242497629693897,3,37
resnet50-inference,75,385.8522135021144,385.8522135021144,0.0,0.0,0,70
speech-inference,75,20810.980186939138,4591.048323554449,16219.93186338469,77.93929799406678,9,9
speech-inference,75,20810.980186939138,4591.048323554449,16219.93186338469,77.93929799406678,9,9
resnet50-preprocessing,75,46718.196067627265,7649.366638428517,39068.82942919875,83.62657961502704,3,3
resnet50-preprocessing,75,46718.196067627265,7649.366638428517,39068.82942919875,83.62657961502704,3,3
python-pi,75,1316.7396740358226,1316.7396740358226,0.0,0.0,0,78
python-pi,75,1316.7396740358226,1316.7396740358226,0.0,0.0,0,78
resnet50-inference,80,386.1778429038614,386.1778429038614,0.0,0.0,0,33
speech-inference,80,21892.464023098484,3920.924818513711,17971.539204584773,82.09007074591153,1,1
speech-inference,80,21892.464023098484,3920.924818513711,17971.539204584773,82.09007074591153,1,1
python-pi,80,1291.637829562675,1291.637829562675,0.0,0.0,0,32
python-pi,80,1291.637829562675,1291.637829562675,0.0,0.0,0,32
resnet50-inference,110,384.72056955300593,384.72056955300593,0.0,0.0,0,33
speech-inference,110,14776.677536104286,4949.439774598093,9827.237761506192,66.50505661705763,9,9
speech-inference,110,14776.677536104286,4949.439774598093,9827.237761506192,66.50505661705763,9,9
resnet50-preprocessing,110,13288.019849774279,7581.767305088817,5706.2525446854615,42.942835796429016,2,2
resnet50-preprocessing,110,13288.019849774279,7581.767305088817,5706.2525446854615,42.942835796429016,2,2
python-pi,110,1258.137915227963,1258.137915227963,0.0,0.0,0,38
python-pi,110,1258.137915227963,1258.137915227963,0.0,0.0,0,38
resnet50-inference,115,382.4303480898559,382.4303480898559,0.0,0.0,0,15
speech-inference,115,5155.683958905484,3821.3150943021787,1334.3688646033058,25.881510101068784,1,1
speech-inference,115,5155.683958905484,3821.3150943021787,1334.3688646033058,25.881510101068784,1,1
python-pi,115,1259.7894746661864,1259.7894746661864,0.0,0.0,0,15
python-pi,115,1259.7894746661864,1259.7894746661864,0.0,0.0,0,15
resnet50-inference,145,381.0037625720118,381.0037625720118,0.0,0.0,0,3
