timestamp,strategy,deployment,current_replicas,current_load_rps,avg_response_time_ms,evaluation_type
5,KubernetesStyleFirstFit,resnet50-inference,1,2.2,376.0578486470716,scaling_check
5,KubernetesStyleFirstFit,speech-inference,1,0.4,0.0,scaling_check
5,KubernetesStyleFirstFit,resnet50-preprocessing,1,0.4,0.0,scaling_check
5,KubernetesStyleFirstFit,resnet50-training,1,1.0,0.0,scaling_check
5,KubernetesStyleFirstFit,python-pi,1,2.6,994.2876697364502,scaling_check
5,KubernetesStyleFirstFit,fio,1,2.6,0.0,scaling_check
10,KubernetesStyleFirstFit,resnet50-inference,1,4.8,376.0578486470716,scaling_check
10,KubernetesStyleFirstFit,speech-inference,1,1.2,0.0,scaling_check
10,KubernetesStyleFirstFit,resnet50-preprocessing,1,1.2,0.0,scaling_check
10,KubernetesStyleFirstFit,resnet50-training,1,2.4,0.0,scaling_check
10,KubernetesStyleFirstFit,python-pi,2,6.2,994.2876697364502,scaling_check
10,KubernetesStyleFirstFit,fio,1,6.2,0.0,scaling_check
15,KubernetesStyleFirstFit,resnet50-inference,1,5.6,0.0,scaling_check
15,KubernetesStyleFirstFit,speech-inference,1,1.4,0.0,scaling_check
15,KubernetesStyleFirstFit,resnet50-preprocessing,1,1.4,0.0,scaling_check
15,KubernetesStyleFirstFit,resnet50-training,1,2.8,0.0,scaling_check
15,KubernetesStyleFirstFit,python-pi,3,7.0,0.0,scaling_check
15,KubernetesStyleFirstFit,fio,1,7.0,0.0,scaling_check
20,KubernetesStyleFirstFit,resnet50-inference,1,6.0,0.0,scaling_check
20,KubernetesStyleFirstFit,speech-inference,1,1.6,0.0,scaling_check
20,KubernetesStyleFirstFit,resnet50-preprocessing,1,1.6,0.0,scaling_check
20,KubernetesStyleFirstFit,resnet50-training,1,3.0,0.0,scaling_check
20,KubernetesStyleFirstFit,python-pi,3,7.6,0.0,scaling_check
20,KubernetesStyleFirstFit,fio,1,7.6,0.0,scaling_check
25,KubernetesStyleFirstFit,resnet50-inference,1,6.6,0.0,scaling_check
25,KubernetesStyleFirstFit,speech-inference,1,1.6,0.0,scaling_check
25,KubernetesStyleFirstFit,resnet50-preprocessing,1,1.6,0.0,scaling_check
25,KubernetesStyleFirstFit,resnet50-training,1,3.4,0.0,scaling_check
25,KubernetesStyleFirstFit,python-pi,3,8.2,0.0,scaling_check
25,KubernetesStyleFirstFit,fio,1,8.2,0.0,scaling_check
30,KubernetesStyleFirstFit,resnet50-inference,1,7.0,0.0,scaling_check
30,KubernetesStyleFirstFit,speech-inference,1,1.8,0.0,scaling_check
30,KubernetesStyleFirstFit,resnet50-preprocessing,1,1.8,0.0,scaling_check
30,KubernetesStyleFirstFit,resnet50-training,1,3.4,0.0,scaling_check
30,KubernetesStyleFirstFit,python-pi,3,8.8,0.0,scaling_check
30,KubernetesStyleFirstFit,fio,1,8.8,0.0,scaling_check
35,KubernetesStyleFirstFit,resnet50-inference,1,7.4,0.0,scaling_check
35,KubernetesStyleFirstFit,speech-inference,1,1.8,0.0,scaling_check
35,KubernetesStyleFirstFit,resnet50-preprocessing,1,1.8,0.0,scaling_check
35,KubernetesStyleFirstFit,resnet50-training,1,3.8,0.0,scaling_check
35,KubernetesStyleFirstFit,python-pi,3,9.2,0.0,scaling_check
35,KubernetesStyleFirstFit,fio,1,9.2,0.0,scaling_check
40,KubernetesStyleFirstFit,resnet50-inference,1,7.8,386.97320781080356,scaling_check
40,KubernetesStyleFirstFit,speech-inference,1,2.0,11406.662533786317,scaling_check
40,KubernetesStyleFirstFit,resnet50-preprocessing,1,2.0,0.0,scaling_check
40,KubernetesStyleFirstFit,resnet50-training,1,3.8,0.0,scaling_check
40,KubernetesStyleFirstFit,python-pi,3,9.6,1050.2965901207226,scaling_check
40,KubernetesStyleFirstFit,fio,1,9.6,0.0,scaling_check
45,KubernetesStyleFirstFit,resnet50-inference,1,7.8,387.1750700283554,scaling_check
45,KubernetesStyleFirstFit,speech-inference,2,1.8,12364.22640107329,scaling_check
45,KubernetesStyleFirstFit,resnet50-preprocessing,1,1.8,0.0,scaling_check
45,KubernetesStyleFirstFit,resnet50-training,1,4.0,0.0,scaling_check
45,KubernetesStyleFirstFit,python-pi,4,9.8,1050.623746632058,scaling_check
45,KubernetesStyleFirstFit,fio,1,9.8,0.0,scaling_check
50,KubernetesStyleFirstFit,resnet50-inference,1,8.0,0.0,scaling_check
50,KubernetesStyleFirstFit,speech-inference,3,2.0,0.0,scaling_check
50,KubernetesStyleFirstFit,resnet50-preprocessing,1,2.0,0.0,scaling_check
50,KubernetesStyleFirstFit,resnet50-training,1,4.0,0.0,scaling_check
50,KubernetesStyleFirstFit,python-pi,5,10.0,0.0,scaling_check
50,KubernetesStyleFirstFit,fio,1,10.0,0.0,scaling_check
55,KubernetesStyleFirstFit,resnet50-inference,1,8.0,0.0,scaling_check
55,KubernetesStyleFirstFit,speech-inference,2,2.0,0.0,scaling_check
55,KubernetesStyleFirstFit,resnet50-preprocessing,1,2.0,0.0,scaling_check
55,KubernetesStyleFirstFit,resnet50-training,1,4.0,0.0,scaling_check
55,KubernetesStyleFirstFit,python-pi,5,10.0,0.0,scaling_check
55,KubernetesStyleFirstFit,fio,1,10.0,0.0,scaling_check
60,KubernetesStyleFirstFit,resnet50-inference,1,7.8,0.0,scaling_check
60,KubernetesStyleFirstFit,speech-inference,2,2.0,0.0,scaling_check
60,KubernetesStyleFirstFit,resnet50-preprocessing,1,2.0,0.0,scaling_check
60,KubernetesStyleFirstFit,resnet50-training,1,3.8,0.0,scaling_check
60,KubernetesStyleFirstFit,python-pi,5,10.0,0.0,scaling_check
60,KubernetesStyleFirstFit,fio,1,10.0,0.0,scaling_check
65,KubernetesStyleFirstFit,resnet50-inference,1,7.8,0.0,scaling_check
65,KubernetesStyleFirstFit,speech-inference,2,2.0,0.0,scaling_check
65,KubernetesStyleFirstFit,resnet50-preprocessing,1,2.0,0.0,scaling_check
65,KubernetesStyleFirstFit,resnet50-training,1,4.0,0.0,scaling_check
65,KubernetesStyleFirstFit,python-pi,5,9.6,0.0,scaling_check
65,KubernetesStyleFirstFit,fio,1,9.6,0.0,scaling_check
70,KubernetesStyleFirstFit,resnet50-inference,1,7.4,0.0,scaling_check
70,KubernetesStyleFirstFit,speech-inference,2,1.8,0.0,scaling_check
70,KubernetesStyleFirstFit,resnet50-preprocessing,1,1.8,0.0,scaling_check
70,KubernetesStyleFirstFit,resnet50-training,1,3.6,0.0,scaling_check
70,KubernetesStyleFirstFit,python-pi,5,9.2,0.0,scaling_check
70,KubernetesStyleFirstFit,fio,1,9.2,0.0,scaling_check
75,KubernetesStyleFirstFit,resnet50-inference,1,7.0,385.8522135021144,scaling_check
75,KubernetesStyleFirstFit,speech-inference,2,1.8,20810.980186939138,scaling_check
75,KubernetesStyleFirstFit,resnet50-preprocessing,1,1.8,46718.196067627265,scaling_check
75,KubernetesStyleFirstFit,resnet50-training,1,3.6,0.0,scaling_check
75,KubernetesStyleFirstFit,python-pi,5,8.8,1316.7396740358226,scaling_check
75,KubernetesStyleFirstFit,fio,1,8.8,0.0,scaling_check
80,KubernetesStyleFirstFit,resnet50-inference,1,6.6,386.1778429038614,scaling_check
80,KubernetesStyleFirstFit,speech-inference,3,1.6,21892.464023098484,scaling_check
80,KubernetesStyleFirstFit,resnet50-preprocessing,2,1.6,0.0,scaling_check
80,KubernetesStyleFirstFit,resnet50-training,1,3.2,0.0,scaling_check
80,KubernetesStyleFirstFit,python-pi,6,8.2,1291.637829562675,scaling_check
80,KubernetesStyleFirstFit,fio,1,8.2,0.0,scaling_check
85,KubernetesStyleFirstFit,resnet50-inference,1,6.2,0.0,scaling_check
85,KubernetesStyleFirstFit,speech-inference,4,1.6,0.0,scaling_check
85,KubernetesStyleFirstFit,resnet50-preprocessing,2,1.6,0.0,scaling_check
85,KubernetesStyleFirstFit,resnet50-training,1,3.2,0.0,scaling_check
85,KubernetesStyleFirstFit,python-pi,7,7.6,0.0,scaling_check
85,KubernetesStyleFirstFit,fio,1,7.6,0.0,scaling_check
90,KubernetesStyleFirstFit,resnet50-inference,1,5.4,0.0,scaling_check
90,KubernetesStyleFirstFit,speech-inference,3,1.4,0.0,scaling_check
90,KubernetesStyleFirstFit,resnet50-preprocessing,2,1.4,0.0,scaling_check
90,KubernetesStyleFirstFit,resnet50-training,1,2.6,0.0,scaling_check
90,KubernetesStyleFirstFit,python-pi,7,7.0,0.0,scaling_check
90,KubernetesStyleFirstFit,fio,1,7.0,0.0,scaling_check
95,KubernetesStyleFirstFit,resnet50-inference,1,5.0,0.0,scaling_check
95,KubernetesStyleFirstFit,speech-inference,2,1.2,0.0,scaling_check
95,KubernetesStyleFirstFit,resnet50-preprocessing,2,1.2,0.0,scaling_check
95,KubernetesStyleFirstFit,resnet50-training,1,2.6,0.0,scaling_check
95,KubernetesStyleFirstFit,python-pi,7,6.2,0.0,scaling_check
95,KubernetesStyleFirstFit,fio,1,6.2,0.0,scaling_check
100,KubernetesStyleFirstFit,resnet50-inference,1,4.4,0.0,scaling_check
100,KubernetesStyleFirstFit,speech-inference,2,1.2,0.0,scaling_check
100,KubernetesStyleFirstFit,resnet50-preprocessing,2,1.2,0.0,scaling_check
100,KubernetesStyleFirstFit,resnet50-training,1,2.2,0.0,scaling_check
100,KubernetesStyleFirstFit,python-pi,7,5.4,0.0,scaling_check
100,KubernetesStyleFirstFit,fio,1,5.4,0.0,scaling_check
105,KubernetesStyleFirstFit,resnet50-inference,1,3.6,0.0,scaling_check
105,KubernetesStyleFirstFit,speech-inference,2,0.8,0.0,scaling_check
105,KubernetesStyleFirstFit,resnet50-preprocessing,2,0.8,0.0,scaling_check
105,KubernetesStyleFirstFit,resnet50-training,1,1.8,0.0,scaling_check
105,KubernetesStyleFirstFit,python-pi,7,4.6,0.0,scaling_check
105,KubernetesStyleFirstFit,fio,1,4.6,0.0,scaling_check
110,KubernetesStyleFirstFit,resnet50-inference,1,3.2,384.72056955300593,scaling_check
110,KubernetesStyleFirstFit,speech-inference,2,0.8,14776.677536104286,scaling_check
110,KubernetesStyleFirstFit,resnet50-preprocessing,2,0.8,13288.019849774279,scaling_check
110,KubernetesStyleFirstFit,resnet50-training,1,1.6,0.0,scaling_check
110,KubernetesStyleFirstFit,python-pi,6,3.8,1258.137915227963,scaling_check
110,KubernetesStyleFirstFit,fio,1,3.8,0.0,scaling_check
115,KubernetesStyleFirstFit,resnet50-inference,1,2.4,382.4303480898559,scaling_check
115,KubernetesStyleFirstFit,speech-inference,3,0.6,5155.683958905484,scaling_check
115,KubernetesStyleFirstFit,resnet50-preprocessing,3,0.6,0.0,scaling_check
115,KubernetesStyleFirstFit,resnet50-training,1,1.2,0.0,scaling_check
115,KubernetesStyleFirstFit,python-pi,7,3.2,1259.7894746661864,scaling_check
115,KubernetesStyleFirstFit,fio,1,3.2,0.0,scaling_check
120,KubernetesStyleFirstFit,resnet50-inference,1,2.0,0.0,scaling_check
120,KubernetesStyleFirstFit,speech-inference,4,0.6,0.0,scaling_check
120,KubernetesStyleFirstFit,resnet50-preprocessing,2,0.6,0.0,scaling_check
120,KubernetesStyleFirstFit,resnet50-training,1,1.0,0.0,scaling_check
120,KubernetesStyleFirstFit,python-pi,8,2.4,0.0,scaling_check
120,KubernetesStyleFirstFit,fio,1,2.4,0.0,scaling_check
125,KubernetesStyleFirstFit,resnet50-inference,1,1.4,0.0,scaling_check
125,KubernetesStyleFirstFit,speech-inference,3,0.4,0.0,scaling_check
125,KubernetesStyleFirstFit,resnet50-preprocessing,2,0.4,0.0,scaling_check
125,KubernetesStyleFirstFit,resnet50-training,1,0.8,0.0,scaling_check
125,KubernetesStyleFirstFit,python-pi,7,1.8,0.0,scaling_check
125,KubernetesStyleFirstFit,fio,1,1.8,0.0,scaling_check
130,KubernetesStyleFirstFit,resnet50-inference,1,1.0,0.0,scaling_check
130,KubernetesStyleFirstFit,speech-inference,2,0.2,0.0,scaling_check
130,KubernetesStyleFirstFit,resnet50-preprocessing,2,0.2,0.0,scaling_check
130,KubernetesStyleFirstFit,resnet50-training,1,0.4,0.0,scaling_check
130,KubernetesStyleFirstFit,python-pi,6,1.2,0.0,scaling_check
130,KubernetesStyleFirstFit,fio,1,1.2,0.0,scaling_check
135,KubernetesStyleFirstFit,resnet50-inference,1,0.6,0.0,scaling_check
135,KubernetesStyleFirstFit,speech-inference,2,0.2,0.0,scaling_check
135,KubernetesStyleFirstFit,resnet50-preprocessing,2,0.2,0.0,scaling_check
135,KubernetesStyleFirstFit,resnet50-training,1,0.4,0.0,scaling_check
135,KubernetesStyleFirstFit,python-pi,5,0.8,0.0,scaling_check
135,KubernetesStyleFirstFit,fio,1,0.8,0.0,scaling_check
140,KubernetesStyleFirstFit,resnet50-inference,1,0.4,0.0,scaling_check
140,KubernetesStyleFirstFit,speech-inference,2,0.2,0.0,scaling_check
140,KubernetesStyleFirstFit,resnet50-preprocessing,2,0.2,0.0,scaling_check
140,KubernetesStyleFirstFit,resnet50-training,1,0.2,0.0,scaling_check
140,KubernetesStyleFirstFit,python-pi,4,0.4,0.0,scaling_check
