value,function_name,node_name,replica_id
deploy,resnet50-inference,nx_10,139799528466288
deploy,speech-inference,rockpi_30,139799528467152
deploy,resnet50-preprocessing,rockpi_30,139799528705808
deploy,resnet50-training,nano_3,139799528706768
deploy,python-pi,rockpi_8,139799528707728
deploy,fio,rpi3_3,139799528708688
startup,fio,rpi3_3,139799528708688
setup,fio,rpi3_3,139799528708688
finish,fio,rpi3_3,139799528708688
startup,python-pi,rockpi_8,139799528707728
setup,python-pi,rockpi_8,139799528707728
finish,python-pi,rockpi_8,139799528707728
startup,speech-inference,rockpi_30,139799528467152
setup,speech-inference,rockpi_30,139799528467152
startup,resnet50-inference,nx_10,139799528466288
setup,resnet50-inference,nx_10,139799528466288
startup,resnet50-training,nano_3,139799528706768
setup,resnet50-training,nano_3,139799528706768
finish,resnet50-training,nano_3,139799528706768
finish,speech-inference,rockpi_30,139799528467152
finish,resnet50-inference,nx_10,139799528466288
startup,resnet50-preprocessing,rockpi_30,139799528705808
setup,resnet50-preprocessing,rockpi_30,139799528705808
finish,resnet50-preprocessing,rockpi_30,139799528705808
deploy,resnet50-inference,nx_3,139799526424432
deploy,python-pi,rockpi_8,139799526683216
startup,python-pi,rockpi_8,139799526683216
setup,python-pi,rockpi_8,139799526683216
finish,python-pi,rockpi_8,139799526683216
startup,resnet50-inference,nx_3,139799526424432
setup,resnet50-inference,nx_3,139799526424432
finish,resnet50-inference,nx_3,139799526424432
deploy,resnet50-inference,nano_17,139799524996768
deploy,python-pi,nx_10,139799523979424
deploy,fio,rpi3_3,139799523980048
startup,fio,rpi3_3,139799523980048
setup,fio,rpi3_3,139799523980048
finish,fio,rpi3_3,139799523980048
startup,python-pi,nx_10,139799523979424
setup,python-pi,nx_10,139799523979424
finish,python-pi,nx_10,139799523979424
startup,resnet50-inference,nano_17,139799524996768
setup,resnet50-inference,nano_17,139799524996768
finish,resnet50-inference,nano_17,139799524996768
deploy,python-pi,coral_1,139799524460192
deploy,fio,rpi3_4,139799523559168
startup,fio,rpi3_4,139799523559168
setup,fio,rpi3_4,139799523559168
finish,fio,rpi3_4,139799523559168
startup,python-pi,coral_1,139799524460192
setup,python-pi,coral_1,139799524460192
finish,python-pi,coral_1,139799524460192
deploy,resnet50-inference,nano_15,139799521901584
deploy,python-pi,coral_3,139799520836000
deploy,fio,rpi3_4,139799520837200
startup,fio,rpi3_4,139799520837200
setup,fio,rpi3_4,139799520837200
finish,fio,rpi3_4,139799520837200
startup,python-pi,coral_3,139799520836000
setup,python-pi,coral_3,139799520836000
finish,python-pi,coral_3,139799520836000
startup,resnet50-inference,nano_15,139799521901584
setup,resnet50-inference,nano_15,139799521901584
finish,resnet50-inference,nano_15,139799521901584
deploy,resnet50-inference,nano_26,139799520374080
deploy,python-pi,rpi3_5,139799520582752
deploy,fio,rpi3_21,139799520583952
startup,fio,rpi3_21,139799520583952
setup,fio,rpi3_21,139799520583952
finish,fio,rpi3_21,139799520583952
startup,python-pi,rpi3_5,139799520582752
setup,python-pi,rpi3_5,139799520582752
finish,python-pi,rpi3_5,139799520582752
startup,resnet50-inference,nano_26,139799520374080
setup,resnet50-inference,nano_26,139799520374080
finish,resnet50-inference,nano_26,139799520374080
deploy,resnet50-inference,nx_13,139799518000464
deploy,python-pi,rockpi_13,139799518143648
deploy,fio,rpi3_21,139799518144848
startup,fio,rpi3_21,139799518144848
setup,fio,rpi3_21,139799518144848
finish,fio,rpi3_21,139799518144848
