value,function_name,image,replica_id,node_name,successful
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,139641795029232,,
queue,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,139641795030096,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,139641795029232,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,139641795029232,nx_0,True
queue,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,139641795328080,,
queue,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,139641795329040,,
queue,speech-inference,faas-workloads/speech-inference-tflite,139641795330000,,
queue,speech-inference-downtown,faas-workloads/speech-inference-tflite,139641795412944,,
queue,speech-inference-suburb,faas-workloads/speech-inference-tflite,139641795413904,,
queue,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139641795414864,,
queue,resnet50-training,faas-workloads/resnet-training-gpu,139641795415824,,
queue,resnet50-training-downtown,faas-workloads/resnet-training-gpu,139641795416784,,
queue,python-pi,faas-workloads/python-pi,139641795417744,,
queue,python-pi-downtown,faas-workloads/python-pi,139641795418704,,
queue,python-pi-suburb,faas-workloads/python-pi,139641795419664,,
queue,fio,faas-workloads/fio,139641795420624,,
queue,fio-downtown,faas-workloads/fio,139641795421584,,
queue,fio-suburb,faas-workloads/fio,139641795422544,,
start,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,139641795030096,,
finish,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,139641795030096,nano_15,True
start,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,139641795328080,,
finish,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,139641795328080,nano_17,True
start,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,139641795329040,,
finish,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,139641795329040,nano_0,True
start,speech-inference,faas-workloads/speech-inference-tflite,139641795330000,,
finish,speech-inference,faas-workloads/speech-inference-tflite,139641795330000,rockpi_30,True
start,speech-inference-downtown,faas-workloads/speech-inference-tflite,139641795412944,,
finish,speech-inference-downtown,faas-workloads/speech-inference-tflite,139641795412944,rockpi_30,True
start,speech-inference-suburb,faas-workloads/speech-inference-tflite,139641795413904,,
finish,speech-inference-suburb,faas-workloads/speech-inference-tflite,139641795413904,rockpi_25,True
start,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139641795414864,,
finish,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139641795414864,rockpi_25,True
start,resnet50-training,faas-workloads/resnet-training-gpu,139641795415824,,
finish,resnet50-training,faas-workloads/resnet-training-gpu,139641795415824,nx_12,True
start,resnet50-training-downtown,faas-workloads/resnet-training-gpu,139641795416784,,
finish,resnet50-training-downtown,faas-workloads/resnet-training-gpu,139641795416784,nano_1,True
start,python-pi,faas-workloads/python-pi,139641795417744,,
finish,python-pi,faas-workloads/python-pi,139641795417744,rockpi_16,True
start,python-pi-downtown,faas-workloads/python-pi,139641795418704,,
finish,python-pi-downtown,faas-workloads/python-pi,139641795418704,rockpi_16,True
start,python-pi-suburb,faas-workloads/python-pi,139641795419664,,
finish,python-pi-suburb,faas-workloads/python-pi,139641795419664,rockpi_23,True
start,fio,faas-workloads/fio,139641795420624,,
finish,fio,faas-workloads/fio,139641795420624,rpi3_21,True
start,fio-downtown,faas-workloads/fio,139641795421584,,
finish,fio-downtown,faas-workloads/fio,139641795421584,rpi3_21,True
start,fio-suburb,faas-workloads/fio,139641795422544,,
finish,fio-suburb,faas-workloads/fio,139641795422544,rpi3_22,True
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,139641788366960,,
queue,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,139641784496144,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,139641788366960,,
