timestamp,strategy,deployment,current_replicas,current_load_rps,avg_response_time_ms,evaluation_type
5,KubernetesStyleFirstFit,resnet50-inference,1,22.6,1115.645103247178,scaling_check
5,KubernetesStyleFirstFit,speech-inference,1,5.6,0.0,scaling_check
5,KubernetesStyleFirstFit,resnet50-preprocessing,1,0.8,0.0,scaling_check
5,KubernetesStyleFirstFit,resnet50-training,1,13.6,0.0,scaling_check
5,KubernetesStyleFirstFit,python-pi,1,28.2,1323.5493513676504,scaling_check
5,KubernetesStyleFirstFit,fio,1,28.2,0.0,scaling_check
10,KubernetesStyleFirstFit,resnet50-inference,2,48.6,0.0,scaling_check
10,KubernetesStyleFirstFit,speech-inference,2,12.0,0.0,scaling_check
10,KubernetesStyleFirstFit,resnet50-preprocessing,1,1.6,0.0,scaling_check
10,KubernetesStyleFirstFit,resnet50-training,2,29.6,0.0,scaling_check
10,KubernetesStyleFirstFit,python-pi,2,60.8,0.0,scaling_check
10,KubernetesStyleFirstFit,fio,2,60.8,0.0,scaling_check
15,KubernetesStyleFirstFit,resnet50-inference,3,52.8,0.0,scaling_check
15,KubernetesStyleFirstFit,speech-inference,3,13.2,0.0,scaling_check
15,KubernetesStyleFirstFit,resnet50-preprocessing,1,2.0,0.0,scaling_check
15,KubernetesStyleFirstFit,resnet50-training,3,32.0,0.0,scaling_check
15,KubernetesStyleFirstFit,python-pi,3,66.0,0.0,scaling_check
15,KubernetesStyleFirstFit,fio,3,66.0,0.0,scaling_check
20,KubernetesStyleFirstFit,resnet50-inference,4,57.0,0.0,scaling_check
20,KubernetesStyleFirstFit,speech-inference,4,14.4,0.0,scaling_check
20,KubernetesStyleFirstFit,resnet50-preprocessing,1,2.0,0.0,scaling_check
20,KubernetesStyleFirstFit,resnet50-training,4,34.6,0.0,scaling_check
20,KubernetesStyleFirstFit,python-pi,4,71.2,0.0,scaling_check
20,KubernetesStyleFirstFit,fio,4,71.2,0.0,scaling_check
25,KubernetesStyleFirstFit,resnet50-inference,5,61.0,0.0,scaling_check
25,KubernetesStyleFirstFit,speech-inference,5,15.2,0.0,scaling_check
25,KubernetesStyleFirstFit,resnet50-preprocessing,1,2.2,0.0,scaling_check
25,KubernetesStyleFirstFit,resnet50-training,5,37.2,0.0,scaling_check
25,KubernetesStyleFirstFit,python-pi,5,76.4,0.0,scaling_check
25,KubernetesStyleFirstFit,fio,5,76.4,0.0,scaling_check
30,KubernetesStyleFirstFit,resnet50-inference,6,65.0,0.0,scaling_check
30,KubernetesStyleFirstFit,speech-inference,6,16.2,0.0,scaling_check
30,KubernetesStyleFirstFit,resnet50-preprocessing,1,2.2,0.0,scaling_check
30,KubernetesStyleFirstFit,resnet50-training,6,39.2,0.0,scaling_check
30,KubernetesStyleFirstFit,python-pi,6,81.0,0.0,scaling_check
30,KubernetesStyleFirstFit,fio,6,81.0,0.0,scaling_check
35,KubernetesStyleFirstFit,resnet50-inference,7,68.4,0.0,scaling_check
35,KubernetesStyleFirstFit,speech-inference,7,17.2,0.0,scaling_check
35,KubernetesStyleFirstFit,resnet50-preprocessing,1,2.4,0.0,scaling_check
35,KubernetesStyleFirstFit,resnet50-training,7,41.6,0.0,scaling_check
35,KubernetesStyleFirstFit,python-pi,7,85.6,0.0,scaling_check
35,KubernetesStyleFirstFit,fio,7,85.6,0.0,scaling_check
40,KubernetesStyleFirstFit,resnet50-inference,8,71.6,8838.54230581249,scaling_check
40,KubernetesStyleFirstFit,speech-inference,8,17.8,6227.330598888628,scaling_check
40,KubernetesStyleFirstFit,resnet50-preprocessing,1,2.6,0.0,scaling_check
40,KubernetesStyleFirstFit,resnet50-training,8,43.6,0.0,scaling_check
40,KubernetesStyleFirstFit,python-pi,8,89.6,15509.100158589279,scaling_check
40,KubernetesStyleFirstFit,fio,8,89.6,0.0,scaling_check
45,KubernetesStyleFirstFit,resnet50-inference,9,74.6,0.0,scaling_check
