value,function_name,node_name,replica_id
deploy,resnet50-inference,nx_10,140561841809504
deploy,speech-inference,rockpi_30,140561841810368
deploy,resnet50-preprocessing,rockpi_30,140561842065312
deploy,resnet50-training,nano_3,140561842066272
deploy,python-pi,rockpi_8,140561842067232
deploy,fio,rpi3_3,140561842068192
startup,fio,rpi3_3,140561842068192
setup,fio,rpi3_3,140561842068192
finish,fio,rpi3_3,140561842068192
startup,python-pi,rockpi_8,140561842067232
setup,python-pi,rockpi_8,140561842067232
finish,python-pi,rockpi_8,140561842067232
startup,speech-inference,rockpi_30,140561841810368
setup,speech-inference,rockpi_30,140561841810368
startup,resnet50-inference,nx_10,140561841809504
setup,resnet50-inference,nx_10,140561841809504
startup,resnet50-training,nano_3,140561842066272
setup,resnet50-training,nano_3,140561842066272
finish,resnet50-training,nano_3,140561842066272
finish,speech-inference,rockpi_30,140561841810368
finish,resnet50-inference,nx_10,140561841809504
startup,resnet50-preprocessing,rockpi_30,140561842065312
setup,resnet50-preprocessing,rockpi_30,140561842065312
finish,resnet50-preprocessing,rockpi_30,140561842065312
deploy,resnet50-inference,nx_3,140561839911840
deploy,resnet50-training,nano_17,140561840202480
deploy,python-pi,rockpi_8,140561840203392
startup,python-pi,rockpi_8,140561840203392
setup,python-pi,rockpi_8,140561840203392
finish,python-pi,rockpi_8,140561840203392
deploy,fio,rpi3_3,140561840204016
startup,fio,rpi3_3,140561840204016
setup,fio,rpi3_3,140561840204016
finish,fio,rpi3_3,140561840204016
startup,resnet50-inference,nx_3,140561839911840
setup,resnet50-inference,nx_3,140561839911840
startup,resnet50-training,nano_17,140561840202480
setup,resnet50-training,nano_17,140561840202480
finish,resnet50-training,nano_17,140561840202480
finish,resnet50-inference,nx_3,140561839911840
deploy,resnet50-inference,nano_15,140561839252400
deploy,speech-inference,nx_10,140561837853520
deploy,resnet50-training,nano_26,140561837854528
deploy,python-pi,coral_1,140561837855392
deploy,fio,rpi3_4,140561837856160
startup,fio,rpi3_4,140561837856160
setup,fio,rpi3_4,140561837856160
finish,fio,rpi3_4,140561837856160
startup,speech-inference,nx_10,140561837853520
setup,speech-inference,nx_10,140561837853520
startup,python-pi,coral_1,140561837855392
setup,python-pi,coral_1,140561837855392
finish,python-pi,coral_1,140561837855392
finish,speech-inference,nx_10,140561837853520
startup,resnet50-inference,nano_15,140561839252400
setup,resnet50-inference,nano_15,140561839252400
startup,resnet50-training,nano_26,140561837854528
setup,resnet50-training,nano_26,140561837854528
finish,resnet50-training,nano_26,140561837854528
finish,resnet50-inference,nano_15,140561839252400
