t_wait,t_exec,t_start,memory,function_name,function_image,node,replica_id
0.0,0.3773608033597511,2.7318122226335126,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,140496427985328
0.0,0.37889422582082766,2.9620747843166617,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,140496427985328
0.0,0.37047925073808097,3.190819362602763,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,140496427985328
0.0,0.9171473125923697,2.6854497781068103,104857600,python-pi,faas-workloads/python-pi,rockpi_8,140496428226768
0.0,0.9059971420446264,2.8699063856435374,104857600,python-pi,faas-workloads/python-pi,rockpi_8,140496428226768
0.0,0.3726278151174167,3.418076646984883,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,140496427985328
0.0,0.9087507875249528,3.0533861156041775,104857600,python-pi,faas-workloads/python-pi,rockpi_8,140496428226768
0.0,0.3723494542974959,3.6438763809590227,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,140496427985328
0.0,0.9298691098477105,3.23590485226916,104857600,python-pi,faas-workloads/python-pi,rockpi_8,140496428226768
0.0,0.37784927012397507,3.868247401834303,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,140496427985328
0.0,0.37845234350675305,4.091217678435101,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,140496427985328
0.0,1.1061031054818282,3.4174780852274558,104857600,python-pi,faas-workloads/python-pi,rockpi_8,140496428226768
0.0,0.3670481785502302,4.312814346829247,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,140496427985328
0.0,1.0992613678447256,3.5981209227921553,104857600,python-pi,faas-workloads/python-pi,rockpi_8,140496428226768
0.0,1.0928848628189387,3.777848104841091,104857600,python-pi,faas-workloads/python-pi,rockpi_8,140496428226768
0.0,0.3894592963091137,4.533063744206439,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,140496427985328
0.0,1.11280629877702,3.9566740151121733,104857600,python-pi,faas-workloads/python-pi,rockpi_8,140496428226768
0.0,0.3726894403614498,4.751991441021988,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,140496427985328
0.0,0.3965970647733785,4.969622271512595,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,140496427985328
0.0,1.2943044596793456,4.134612692981311,104857600,python-pi,faas-workloads/python-pi,rockpi_8,140496428226768
0.0,0.37456225908586305,5.185980362683296,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,140496427985328
0.0,1.2900592837142604,4.311677844749138,104857600,python-pi,faas-workloads/python-pi,rockpi_8,140496428226768
0.0,1.285992160578446,4.487882854461202,104857600,python-pi,faas-workloads/python-pi,rockpi_8,140496428226768
0.0,0.3800921216754398,5.401089161857622,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,140496427985328
0.0,1.317530429655828,4.663240794284852,104857600,python-pi,faas-workloads/python-pi,rockpi_8,140496428226768
0.0,0.37989444673086403,5.614971462876603,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,140496427985328
0.0,0.9115699145794967,5.184358444203739,104857600,python-pi,faas-workloads/python-pi,rockpi_8,140496425769360
0.0,0.39853453966954344,5.827649431026279,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,140496427985328
0.0,1.5108941545424512,4.837764434464677,104857600,python-pi,faas-workloads/python-pi,rockpi_8,140496428226768
0.0,0.38471027441180095,6.039144626767922,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,140496427985328
0.0,0.9039183056030522,5.527761360866428,104857600,python-pi,faas-workloads/python-pi,rockpi_8,140496425769360
0.0,1.4991537241236692,5.011466252877125,104857600,python-pi,faas-workloads/python-pi,rockpi_8,140496428226768
0.0,0.37311719578556524,6.249478028340138,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,140496427985328
0.0,1.3327618927991445,5.356452928741333,104857600,python-pi,faas-workloads/python-pi,rockpi_8,140496428226768
0.0,0.9053132260141981,5.868065404280058,104857600,python-pi,faas-workloads/python-pi,rockpi_8,140496425769360
0.0,0.384280894764534,6.458670053297322,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,140496427985328
0.0,1.1965411977876927,5.698295137170299,104857600,python-pi,faas-workloads/python-pi,rockpi_8,140496428226768
0.0,0.37612536870041335,6.666740579044699,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,140496427985328
0.0,0.9032873529617111,6.205358792449731,104857600,python-pi,faas-workloads/python-pi,rockpi_8,140496425769360
0.0,0.3844620293088541,6.873708962426176,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,140496427985328
0.0,1.2360117018782457,6.037083066380389,104857600,python-pi,faas-workloads/python-pi,rockpi_8,140496428226768
0.0,3.9357026354421176,3.4272488905340506,104857600,speech-inference,faas-workloads/speech-inference-tflite,rockpi_30,140496427986192
0.0,1.0423814903775641,6.372903023223975,104857600,python-pi,faas-workloads/python-pi,rockpi_8,140496428226768
0.0,0.9092589545279948,6.539725977900039,104857600,python-pi,faas-workloads/python-pi,rockpi_8,140496425769360
0.0,0.37746624050001376,7.079594058417556,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,140496427985328
0.0,0.9425689292057866,6.705837660591036,104857600,python-pi,faas-workloads/python-pi,rockpi_8,140496428226768
