deployment_name,timestamp,avg_response_time,avg_execution_time,avg_wait_time,wait_percentage,high_wait_count,sample_count
resnet50-inference,5,645.326752725393,379.58887028480694,265.737882440586,41.17881078357616,18,22
resnet50-inference,5,645.326752725393,379.58887028480694,265.737882440586,41.17881078357616,18,22
python-pi,5,1263.8826410324218,914.566203908963,349.31643712345897,27.638360222917097,4,8
python-pi,5,1263.8826410324218,914.566203908963,349.31643712345897,27.638360222917097,4,8
resnet50-inference,10,645.326752725393,379.58887028480694,265.737882440586,41.17881078357616,18,22
resnet50-inference,10,645.326752725393,379.58887028480694,265.737882440586,41.17881078357616,18,22
python-pi,10,1263.8826410324218,914.566203908963,349.31643712345897,27.638360222917097,4,8
python-pi,10,1263.8826410324218,914.566203908963,349.31643712345897,27.638360222917097,4,8
resnet50-inference,40,568.7304133322034,566.2225958706792,2.507817461524185,0.4409501237732004,3,249
resnet50-inference,40,568.7304133322034,566.2225958706792,2.507817461524185,0.4409501237732004,3,249
speech-inference,40,13432.844315432234,3819.535741610103,9613.30857382213,71.5656963490446,10,14
speech-inference,40,13432.844315432234,3819.535741610103,9613.30857382213,71.5656963490446,10,14
resnet50-preprocessing,40,6118.656119847953,6118.656119847953,0.0,0.0,0,4
resnet50-preprocessing,40,6118.656119847953,6118.656119847953,0.0,0.0,0,4
python-pi,40,9862.35433566632,1081.6313838527612,8780.72295181356,89.03272639534823,202,237
python-pi,40,9862.35433566632,1081.6313838527612,8780.72295181356,89.03272639534823,202,237
resnet50-inference,45,564.219345534671,564.219345534671,0.0,0.0,0,119
resnet50-inference,45,564.219345534671,564.219345534671,0.0,0.0,0,119
speech-inference,45,6186.4266137007735,3840.626313267476,2345.8003004332986,37.91850201921365,3,3
speech-inference,45,6186.4266137007735,3840.626313267476,2345.8003004332986,37.91850201921365,3,3
python-pi,45,9796.570188461348,1064.9521909397354,8731.617997521613,89.12933638556417,93,111
python-pi,45,9796.570188461348,1064.9521909397354,8731.617997521613,89.12933638556417,93,111
resnet50-inference,75,588.7661384807087,588.7661384807087,0.0,0.0,0,238
resnet50-inference,75,588.7661384807087,588.7661384807087,0.0,0.0,0,238
speech-inference,75,11356.282793312748,3555.756233289107,7800.526560023641,68.68908340867536,18,43
speech-inference,75,11356.282793312748,3555.756233289107,7800.526560023641,68.68908340867536,18,43
resnet50-preprocessing,75,18786.471498057526,6966.103867380573,11820.367630676958,62.919572905956045,10,12
resnet50-preprocessing,75,18786.471498057526,6966.103867380573,11820.367630676958,62.919572905956045,10,12
python-pi,75,10553.558437889787,1081.3338497059235,9472.224588183863,89.75384600303458,159,328
python-pi,75,10553.558437889787,1081.3338497059235,9472.224588183863,89.75384600303458,159,328
resnet50-inference,80,588.516540963059,588.516540963059,0.0,0.0,0,109
resnet50-inference,80,588.516540963059,588.516540963059,0.0,0.0,0,109
speech-inference,80,5622.576771946855,3317.6430207774674,2304.933751169387,40.99426018813236,3,9
speech-inference,80,5622.576771946855,3317.6430207774674,2304.933751169387,40.99426018813236,3,9
python-pi,80,10341.884584643987,1064.7677355092947,9277.116849134693,89.7043162027712,73,148
python-pi,80,10341.884584643987,1064.7677355092947,9277.116849134693,89.7043162027712,73,148
resnet50-inference,110,581.6171945769311,581.6171945769311,0.0,0.0,0,112
resnet50-inference,110,581.6171945769311,581.6171945769311,0.0,0.0,0,112
speech-inference,110,24383.979975736547,3616.5805795881283,20767.39939614842,85.16821050875684,6,22
speech-inference,110,24383.979975736547,3616.5805795881283,20767.39939614842,85.16821050875684,6,22
resnet50-preprocessing,110,36409.34494584253,7351.90028049658,29057.444665345945,79.80765572291331,5,10
resnet50-preprocessing,110,36409.34494584253,7351.90028049658,29057.444665345945,79.80765572291331,5,10
python-pi,110,9767.298187948802,1220.10635130372,8547.191836645083,87.50825122950455,72,184
python-pi,110,9767.298187948802,1220.10635130372,8547.191836645083,87.50825122950455,72,184
resnet50-inference,115,578.1342093966077,578.1342093966077,0.0,0.0,0,47
resnet50-inference,115,578.1342093966077,578.1342093966077,0.0,0.0,0,47
speech-inference,115,29511.790957967354,3450.795645980144,26060.995311987208,88.3070612322546,2,6
speech-inference,115,29511.790957967354,3450.795645980144,26060.995311987208,88.3070612322546,2,6
python-pi,115,9149.448821004004,1225.5353498323288,7923.913471171678,86.60536417211368,31,77
python-pi,115,9149.448821004004,1225.5353498323288,7923.913471171678,86.60536417211368,31,77
resnet50-inference,145,628.8964722770061,628.8964722770061,0.0,0.0,0,8
resnet50-inference,145,628.8964722770061,628.8964722770061,0.0,0.0,0,8
speech-inference,145,83872.89933131574,3611.3894753438217,80261.50985597193,95.6942117130373,8,10
speech-inference,145,83872.89933131574,3611.3894753438217,80261.50985597193,95.6942117130373,8,10
resnet50-preprocessing,145,13472.106478935955,6010.394620859515,7461.711858076441,55.38637829015865,2,2
resnet50-preprocessing,145,13472.106478935955,6010.394620859515,7461.711858076441,55.38637829015865,2,2
python-pi,145,1022.946670790185,1022.946670790185,0.0,0.0,0,10
python-pi,145,1022.946670790185,1022.946670790185,0.0,0.0,0,10
resnet50-inference,150,696.373235826556,696.373235826556,0.0,0.0,0,2
resnet50-inference,150,696.373235826556,696.373235826556,0.0,0.0,0,2
speech-inference,150,79409.88464588343,3543.9997732595357,75865.8848726239,95.53707981183517,3,4
speech-inference,150,79409.88464588343,3543.9997732595357,75865.8848726239,95.53707981183517,3,4
python-pi,150,1037.9307210206055,1037.9307210206055,0.0,0.0,0,3
python-pi,150,1037.9307210206055,1037.9307210206055,0.0,0.0,0,3
speech-inference,180,102811.41154904949,3834.363443032071,98977.0481060174,96.27048847471296,8,8
speech-inference,180,102811.41154904949,3834.363443032071,98977.0481060174,96.27048847471296,8,8
resnet50-preprocessing,180,154517.16491793442,7743.483849213361,146773.68106872108,94.98859310981665,3,3
resnet50-preprocessing,180,154517.16491793442,7743.483849213361,146773.68106872108,94.98859310981665,3,3
python-pi,180,1069.041205286839,1069.041205286839,0.0,0.0,0,41
python-pi,180,1069.041205286839,1069.041205286839,0.0,0.0,0,41
speech-inference,185,98803.5442206898,3819.473213807626,94984.07100688218,96.13427509718035,2,2
speech-inference,185,98803.5442206898,3819.473213807626,94984.07100688218,96.13427509718035,2,2
python-pi,185,1033.6752145822404,1033.6752145822404,0.0,0.0,0,21
python-pi,185,1033.6752145822404,1033.6752145822404,0.0,0.0,0,21
python-pi,215,1080.4587783135169,1080.4587783135169,0.0,0.0,0,198
python-pi,215,1080.4587783135169,1080.4587783135169,0.0,0.0,0,198
python-pi,220,1070.5216557914275,1070.5216557914275,0.0,0.0,0,93
python-pi,220,1070.5216557914275,1070.5216557914275,0.0,0.0,0,93
resnet50-preprocessing,250,218020.6418322765,7578.312315438183,210442.32951683833,96.52403907641545,1,1
resnet50-preprocessing,250,218020.6418322765,7578.312315438183,210442.32951683833,96.52403907641545,1,1
python-pi,250,1063.9379539696954,1063.9379539696954,0.0,0.0,0,301
python-pi,250,1063.9379539696954,1063.9379539696954,0.0,0.0,0,301
python-pi,255,1053.815394777824,1053.815394777824,0.0,0.0,0,133
python-pi,255,1053.815394777824,1053.815394777824,0.0,0.0,0,133
speech-inference,285,5663.872688695659,3849.0693096916234,1814.8033790040358,32.04174032064921,8,10
speech-inference,285,5663.872688695659,3849.0693096916234,1814.8033790040358,32.04174032064921,8,10
resnet50-preprocessing,285,6225.393187228747,6225.393187228747,0.0,0.0,0,1
resnet50-preprocessing,285,6225.393187228747,6225.393187228747,0.0,0.0,0,1
python-pi,285,1063.1652886098661,1063.1652886098661,0.0,0.0,0,244
python-pi,285,1063.1652886098661,1063.1652886098661,0.0,0.0,0,244
python-pi,290,1056.9381900949777,1056.9381900949777,0.0,0.0,0,104
python-pi,290,1056.9381900949777,1056.9381900949777,0.0,0.0,0,104
speech-inference,320,15106.436959675153,3832.9537069756243,11273.483252699529,74.62701683257778,9,13
speech-inference,320,15106.436959675153,3832.9537069756243,11273.483252699529,74.62701683257778,9,13
resnet50-preprocessing,320,70269.23104771343,6610.842629870499,63658.388417842936,90.5921232788478,6,6
resnet50-preprocessing,320,70269.23104771343,6610.842629870499,63658.388417842936,90.5921232788478,6,6
python-pi,320,1056.5996956505285,1056.5996956505285,0.0,0.0,0,85
python-pi,320,1056.5996956505285,1056.5996956505285,0.0,0.0,0,85
speech-inference,325,3799.003553672094,3799.003553672094,0.0,0.0,0,1
speech-inference,325,3799.003553672094,3799.003553672094,0.0,0.0,0,1
python-pi,325,1043.0626039441,1043.0626039441,0.0,0.0,0,33
python-pi,325,1043.0626039441,1043.0626039441,0.0,0.0,0,33
speech-inference,355,3773.3421535531875,3773.3421535531875,0.0,0.0,0,1
speech-inference,355,3773.3421535531875,3773.3421535531875,0.0,0.0,0,1
resnet50-preprocessing,355,124336.83584386048,6926.960488522076,117409.87535533839,94.4288750461522,9,9
resnet50-preprocessing,355,124336.83584386048,6926.960488522076,117409.87535533839,94.4288750461522,9,9
python-pi,355,1421.8388927653507,1421.8388927653507,0.0,0.0,0,2
python-pi,355,1421.8388927653507,1421.8388927653507,0.0,0.0,0,2
python-pi,360,927.6465173687711,927.6465173687711,0.0,0.0,0,1
python-pi,360,927.6465173687711,927.6465173687711,0.0,0.0,0,1
resnet50-preprocessing,425,142056.3252963903,7532.155491202673,134524.16980518764,94.69776831444334,4,4
resnet50-preprocessing,425,142056.3252963903,7532.155491202673,134524.16980518764,94.69776831444334,4,4
resnet50-preprocessing,495,181270.0253954669,7609.735439432654,173660.28995603422,95.80198909178121,1,1
resnet50-preprocessing,495,181270.0253954669,7609.735439432654,173660.28995603422,95.80198909178121,1,1
