value,name,image,function_id,node
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140154212006784,nx_10
deploy,speech-inference,faas-workloads/speech-inference-tflite,140154212024672,rockpi_30
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140154212025584,rockpi_30
deploy,resnet50-training,faas-workloads/resnet-training-gpu,140154212026448,nano_3
deploy,python-pi,faas-workloads/python-pi,140154212027600,rockpi_8
deploy,fio,faas-workloads/fio,140154212028416,rpi3_3
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140154212006784,nx_3
deploy,resnet50-training,faas-workloads/resnet-training-gpu,140154212026448,nano_17
deploy,python-pi,faas-workloads/python-pi,140154212027600,rockpi_8
deploy,fio,faas-workloads/fio,140154212028416,rpi3_3
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140154212006784,nano_15
deploy,speech-inference,faas-workloads/speech-inference-tflite,140154212024672,nx_10
deploy,resnet50-training,faas-workloads/resnet-training-gpu,140154212026448,nano_26
deploy,python-pi,faas-workloads/python-pi,140154212027600,coral_1
deploy,fio,faas-workloads/fio,140154212028416,rpi3_4
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140154212006784,nx_13
deploy,speech-inference,faas-workloads/speech-inference-tflite,140154212024672,coral_3
deploy,resnet50-training,faas-workloads/resnet-training-gpu,140154212026448,nano_18
deploy,python-pi,faas-workloads/python-pi,140154212027600,rpi3_5
deploy,fio,faas-workloads/fio,140154212028416,rpi3_4
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140154212006784,nano_19
deploy,speech-inference,faas-workloads/speech-inference-tflite,140154212024672,rockpi_13
deploy,resnet50-training,faas-workloads/resnet-training-gpu,140154212026448,nx_4
deploy,python-pi,faas-workloads/python-pi,140154212027600,rockpi_13
deploy,fio,faas-workloads/fio,140154212028416,rpi3_21
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140154212006784,nano_9
deploy,speech-inference,faas-workloads/speech-inference-tflite,140154212024672,nx_3
deploy,resnet50-training,faas-workloads/resnet-training-gpu,140154212026448,nano_12
deploy,python-pi,faas-workloads/python-pi,140154212027600,rockpi_12
deploy,fio,faas-workloads/fio,140154212028416,rpi3_21
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140154212006784,nano_21
deploy,speech-inference,faas-workloads/speech-inference-tflite,140154212024672,rockpi_12
deploy,resnet50-training,faas-workloads/resnet-training-gpu,140154212026448,nx_7
deploy,python-pi,faas-workloads/python-pi,140154212027600,rockpi_5
deploy,fio,faas-workloads/fio,140154212028416,rpi3_22
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140154212006784,nano_20
deploy,speech-inference,faas-workloads/speech-inference-tflite,140154212024672,rockpi_5
deploy,resnet50-training,faas-workloads/resnet-training-gpu,140154212026448,nx_11
deploy,python-pi,faas-workloads/python-pi,140154212027600,rockpi_21
deploy,fio,faas-workloads/fio,140154212028416,rpi3_22
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140154212006784,nano_22
deploy,speech-inference,faas-workloads/speech-inference-tflite,140154212024672,rockpi_21
deploy,resnet50-training,faas-workloads/resnet-training-gpu,140154212026448,nano_10
deploy,python-pi,faas-workloads/python-pi,140154212027600,rockpi_19
deploy,fio,faas-workloads/fio,140154212028416,rpi3_23
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140154212006784,nano_11
deploy,speech-inference,faas-workloads/speech-inference-tflite,140154212024672,rockpi_19
deploy,resnet50-training,faas-workloads/resnet-training-gpu,140154212026448,nano_28
deploy,python-pi,faas-workloads/python-pi,140154212027600,nx_13
deploy,fio,faas-workloads/fio,140154212028416,rpi3_23
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140154212006784,nano_0
deploy,speech-inference,faas-workloads/speech-inference-tflite,140154212024672,rockpi_16
deploy,resnet50-training,faas-workloads/resnet-training-gpu,140154212026448,nano_1
deploy,python-pi,faas-workloads/python-pi,140154212027600,rockpi_16
deploy,fio,faas-workloads/fio,140154212028416,rpi3_27
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140154212006784,nano_2
deploy,speech-inference,faas-workloads/speech-inference-tflite,140154212024672,rockpi_14
deploy,resnet50-training,faas-workloads/resnet-training-gpu,140154212026448,nano_5
deploy,python-pi,faas-workloads/python-pi,140154212027600,rockpi_14
deploy,fio,faas-workloads/fio,140154212028416,rpi3_27
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140154212006784,nx_5
deploy,speech-inference,faas-workloads/speech-inference-tflite,140154212024672,nx_4
deploy,resnet50-training,faas-workloads/resnet-training-gpu,140154212026448,nx_12
deploy,python-pi,faas-workloads/python-pi,140154212027600,rockpi_10
deploy,fio,faas-workloads/fio,140154212028416,rpi3_28
