value,name,function_id
deploy,resnet50-inference,140104743155744
deploy,resnet50-inference-downtown,140104743156800
deploy,resnet50-inference-suburb,140104743174448
deploy,resnet50-inference-industrial,140104743175648
deploy,speech-inference,140104743176848
deploy,speech-inference-downtown,140104743178048
deploy,speech-inference-suburb,140104743179248
deploy,resnet50-preprocessing,140104743180448
deploy,resnet50-training,140104743181264
deploy,resnet50-training-downtown,140104743182464
deploy,python-pi,140104743183664
deploy,python-pi-downtown,140104743184480
deploy,python-pi-suburb,140104743185296
deploy,fio,140104743186112
deploy,fio-downtown,140104743186928
deploy,fio-suburb,140104743187744
