value,function_name,node_name,replica_id
deploy,resnet50-inference,nx_10,140154211904352
deploy,speech-inference,rockpi_30,140154211905216
deploy,resnet50-preprocessing,rockpi_30,140154212143776
deploy,resnet50-training,nano_3,140154212144736
deploy,python-pi,rockpi_8,140154212145696
deploy,fio,rpi3_3,140154212146656
startup,fio,rpi3_3,140154212146656
setup,fio,rpi3_3,140154212146656
finish,fio,rpi3_3,140154212146656
startup,python-pi,rockpi_8,140154212145696
setup,python-pi,rockpi_8,140154212145696
finish,python-pi,rockpi_8,140154212145696
startup,speech-inference,rockpi_30,140154211905216
setup,speech-inference,rockpi_30,140154211905216
startup,resnet50-inference,nx_10,140154211904352
setup,resnet50-inference,nx_10,140154211904352
startup,resnet50-training,nano_3,140154212144736
setup,resnet50-training,nano_3,140154212144736
finish,resnet50-training,nano_3,140154212144736
finish,speech-inference,rockpi_30,140154211905216
finish,resnet50-inference,nx_10,140154211904352
startup,resnet50-preprocessing,rockpi_30,140154212143776
setup,resnet50-preprocessing,rockpi_30,140154212143776
finish,resnet50-preprocessing,rockpi_30,140154212143776
deploy,resnet50-inference,nx_3,140154209958160
deploy,resnet50-training,nano_17,140154210231936
deploy,python-pi,rockpi_8,140154210232176
startup,python-pi,rockpi_8,140154210232176
setup,python-pi,rockpi_8,140154210232176
finish,python-pi,rockpi_8,140154210232176
deploy,fio,rpi3_3,140154210233280
startup,fio,rpi3_3,140154210233280
setup,fio,rpi3_3,140154210233280
finish,fio,rpi3_3,140154210233280
startup,resnet50-inference,nx_3,140154209958160
setup,resnet50-inference,nx_3,140154209958160
startup,resnet50-training,nano_17,140154210231936
setup,resnet50-training,nano_17,140154210231936
finish,resnet50-training,nano_17,140154210231936
finish,resnet50-inference,nx_3,140154209958160
deploy,resnet50-inference,nano_15,140154211392800
deploy,speech-inference,nx_10,140154207849680
deploy,resnet50-training,nano_26,140154207850208
deploy,python-pi,coral_1,140154207851552
deploy,fio,rpi3_4,140154207852320
startup,fio,rpi3_4,140154207852320
setup,fio,rpi3_4,140154207852320
finish,fio,rpi3_4,140154207852320
startup,speech-inference,nx_10,140154207849680
setup,speech-inference,nx_10,140154207849680
startup,python-pi,coral_1,140154207851552
setup,python-pi,coral_1,140154207851552
finish,python-pi,coral_1,140154207851552
finish,speech-inference,nx_10,140154207849680
startup,resnet50-inference,nano_15,140154211392800
setup,resnet50-inference,nano_15,140154211392800
startup,resnet50-training,nano_26,140154207850208
setup,resnet50-training,nano_26,140154207850208
finish,resnet50-training,nano_26,140154207850208
finish,resnet50-inference,nano_15,140154211392800
deploy,resnet50-inference,nx_13,140154207444256
deploy,speech-inference,coral_3,140154205539536
deploy,resnet50-training,nano_18,140154205540064
deploy,python-pi,rpi3_5,140154205541408
deploy,fio,rpi3_4,140154205542176
startup,fio,rpi3_4,140154205542176
setup,fio,rpi3_4,140154205542176
finish,fio,rpi3_4,140154205542176
startup,speech-inference,coral_3,140154205539536
setup,speech-inference,coral_3,140154205539536
startup,python-pi,rpi3_5,140154205541408
setup,python-pi,rpi3_5,140154205541408
finish,python-pi,rpi3_5,140154205541408
finish,speech-inference,coral_3,140154205539536
startup,resnet50-inference,nx_13,140154207444256
setup,resnet50-inference,nx_13,140154207444256
startup,resnet50-training,nano_18,140154205540064
setup,resnet50-training,nano_18,140154205540064
finish,resnet50-training,nano_18,140154205540064
finish,resnet50-inference,nx_13,140154207444256
deploy,resnet50-inference,nano_19,140154211699344
deploy,speech-inference,rockpi_13,140154205154384
deploy,resnet50-training,nx_4,140154205154912
deploy,python-pi,rockpi_13,140154205156256
deploy,fio,rpi3_21,140154205157024
startup,fio,rpi3_21,140154205157024
setup,fio,rpi3_21,140154205157024
finish,fio,rpi3_21,140154205157024
startup,speech-inference,rockpi_13,140154205154384
setup,speech-inference,rockpi_13,140154205154384
startup,resnet50-inference,nano_19,140154211699344
setup,resnet50-inference,nano_19,140154211699344
startup,resnet50-training,nx_4,140154205154912
setup,resnet50-training,nx_4,140154205154912
finish,resnet50-training,nx_4,140154205154912
startup,python-pi,rockpi_13,140154205156256
setup,python-pi,rockpi_13,140154205156256
finish,python-pi,rockpi_13,140154205156256
finish,speech-inference,rockpi_13,140154205154384
finish,resnet50-inference,nano_19,140154211699344
deploy,resnet50-inference,nano_9,140154202957008
deploy,speech-inference,nx_3,140154203133056
deploy,resnet50-training,nano_12,140154203133584
deploy,python-pi,rockpi_12,140154203134928
deploy,fio,rpi3_21,140154203135696
startup,fio,rpi3_21,140154203135696
setup,fio,rpi3_21,140154203135696
finish,fio,rpi3_21,140154203135696
startup,speech-inference,nx_3,140154203133056
setup,speech-inference,nx_3,140154203133056
startup,python-pi,rockpi_12,140154203134928
setup,python-pi,rockpi_12,140154203134928
finish,python-pi,rockpi_12,140154203134928
finish,speech-inference,nx_3,140154203133056
startup,resnet50-inference,nano_9,140154202957008
setup,resnet50-inference,nano_9,140154202957008
startup,resnet50-training,nano_12,140154203133584
setup,resnet50-training,nano_12,140154203133584
finish,resnet50-training,nano_12,140154203133584
finish,resnet50-inference,nano_9,140154202957008
deploy,resnet50-inference,nano_21,140154200900608
deploy,speech-inference,rockpi_12,140154200912608
deploy,resnet50-training,nx_7,140154200913760
deploy,python-pi,rockpi_5,140154200914624
deploy,fio,rpi3_22,140154200915392
startup,fio,rpi3_22,140154200915392
setup,fio,rpi3_22,140154200915392
finish,fio,rpi3_22,140154200915392
startup,speech-inference,rockpi_12,140154200912608
setup,speech-inference,rockpi_12,140154200912608
startup,python-pi,rockpi_5,140154200914624
setup,python-pi,rockpi_5,140154200914624
finish,python-pi,rockpi_5,140154200914624
finish,speech-inference,rockpi_12,140154200912608
startup,resnet50-inference,nano_21,140154200900608
setup,resnet50-inference,nano_21,140154200900608
startup,resnet50-training,nx_7,140154200913760
setup,resnet50-training,nx_7,140154200913760
finish,resnet50-training,nx_7,140154200913760
finish,resnet50-inference,nano_21,140154200900608
deploy,resnet50-inference,nano_20,140154198731712
deploy,speech-inference,rockpi_5,140154198891424
deploy,resnet50-training,nx_11,140154198891952
deploy,python-pi,rockpi_21,140154198893296
deploy,fio,rpi3_22,140154198894064
startup,fio,rpi3_22,140154198894064
setup,fio,rpi3_22,140154198894064
finish,fio,rpi3_22,140154198894064
startup,speech-inference,rockpi_5,140154198891424
setup,speech-inference,rockpi_5,140154198891424
startup,python-pi,rockpi_21,140154198893296
setup,python-pi,rockpi_21,140154198893296
finish,python-pi,rockpi_21,140154198893296
finish,speech-inference,rockpi_5,140154198891424
startup,resnet50-inference,nano_20,140154198731712
setup,resnet50-inference,nano_20,140154198731712
startup,resnet50-training,nx_11,140154198891952
setup,resnet50-training,nx_11,140154198891952
finish,resnet50-training,nx_11,140154198891952
finish,resnet50-inference,nano_20,140154198731712
deploy,resnet50-inference,nano_22,140154196806432
deploy,speech-inference,rockpi_21,140154196167120
deploy,resnet50-training,nano_10,140154196819248
deploy,python-pi,rockpi_19,140154196934768
deploy,fio,rpi3_23,140154196936352
startup,fio,rpi3_23,140154196936352
setup,fio,rpi3_23,140154196936352
finish,fio,rpi3_23,140154196936352
startup,speech-inference,rockpi_21,140154196167120
setup,speech-inference,rockpi_21,140154196167120
startup,python-pi,rockpi_19,140154196934768
setup,python-pi,rockpi_19,140154196934768
finish,python-pi,rockpi_19,140154196934768
finish,speech-inference,rockpi_21,140154196167120
startup,resnet50-inference,nano_22,140154196806432
setup,resnet50-inference,nano_22,140154196806432
startup,resnet50-training,nano_10,140154196819248
setup,resnet50-training,nano_10,140154196819248
finish,resnet50-training,nano_10,140154196819248
finish,resnet50-inference,nano_22,140154196806432
deploy,resnet50-inference,nano_11,140154196180896
deploy,speech-inference,rockpi_19,140154192920976
deploy,resnet50-training,nano_28,140154192921504
deploy,python-pi,nx_13,140154192922848
deploy,fio,rpi3_23,140154192923616
startup,fio,rpi3_23,140154192923616
setup,fio,rpi3_23,140154192923616
finish,fio,rpi3_23,140154192923616
startup,speech-inference,rockpi_19,140154192920976
setup,speech-inference,rockpi_19,140154192920976
startup,python-pi,nx_13,140154192922848
setup,python-pi,nx_13,140154192922848
finish,python-pi,nx_13,140154192922848
finish,speech-inference,rockpi_19,140154192920976
startup,resnet50-inference,nano_11,140154196180896
setup,resnet50-inference,nano_11,140154196180896
startup,resnet50-training,nano_28,140154192921504
setup,resnet50-training,nano_28,140154192921504
finish,resnet50-training,nano_28,140154192921504
finish,resnet50-inference,nano_11,140154196180896
deploy,resnet50-inference,nano_0,140154199064096
deploy,speech-inference,rockpi_16,140154190960848
deploy,resnet50-training,nano_1,140154190961376
deploy,python-pi,rockpi_16,140154190962720
deploy,fio,rpi3_27,140154190963488
startup,fio,rpi3_27,140154190963488
setup,fio,rpi3_27,140154190963488
finish,fio,rpi3_27,140154190963488
