value,function_name,image,replica_id,node_name,successful
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,140154211904352,,
queue,speech-inference,faas-workloads/speech-inference-tflite,140154211905216,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,140154211904352,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,140154211904352,nx_10,True
queue,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140154212143776,,
queue,resnet50-training,faas-workloads/resnet-training-gpu,140154212144736,,
queue,python-pi,faas-workloads/python-pi,140154212145696,,
queue,fio,faas-workloads/fio,140154212146656,,
start,speech-inference,faas-workloads/speech-inference-tflite,140154211905216,,
finish,speech-inference,faas-workloads/speech-inference-tflite,140154211905216,rockpi_30,True
start,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140154212143776,,
finish,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140154212143776,rockpi_30,True
start,resnet50-training,faas-workloads/resnet-training-gpu,140154212144736,,
finish,resnet50-training,faas-workloads/resnet-training-gpu,140154212144736,nano_3,True
start,python-pi,faas-workloads/python-pi,140154212145696,,
finish,python-pi,faas-workloads/python-pi,140154212145696,rockpi_8,True
start,fio,faas-workloads/fio,140154212146656,,
finish,fio,faas-workloads/fio,140154212146656,rpi3_3,True
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,140154209958160,,
queue,resnet50-training,faas-workloads/resnet-training-gpu,140154210231936,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,140154209958160,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,140154209958160,nx_3,True
queue,python-pi,faas-workloads/python-pi,140154210232176,,
queue,fio,faas-workloads/fio,140154210233280,,
start,resnet50-training,faas-workloads/resnet-training-gpu,140154210231936,,
finish,resnet50-training,faas-workloads/resnet-training-gpu,140154210231936,nano_17,True
start,python-pi,faas-workloads/python-pi,140154210232176,,
finish,python-pi,faas-workloads/python-pi,140154210232176,rockpi_8,True
start,fio,faas-workloads/fio,140154210233280,,
finish,fio,faas-workloads/fio,140154210233280,rpi3_3,True
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,140154211392800,,
queue,speech-inference,faas-workloads/speech-inference-tflite,140154207849680,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,140154211392800,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,140154211392800,nano_15,True
queue,resnet50-training,faas-workloads/resnet-training-gpu,140154207850208,,
queue,python-pi,faas-workloads/python-pi,140154207851552,,
queue,fio,faas-workloads/fio,140154207852320,,
start,speech-inference,faas-workloads/speech-inference-tflite,140154207849680,,
finish,speech-inference,faas-workloads/speech-inference-tflite,140154207849680,nx_10,True
start,resnet50-training,faas-workloads/resnet-training-gpu,140154207850208,,
finish,resnet50-training,faas-workloads/resnet-training-gpu,140154207850208,nano_26,True
start,python-pi,faas-workloads/python-pi,140154207851552,,
finish,python-pi,faas-workloads/python-pi,140154207851552,coral_1,True
