deployment_name,timestamp,avg_response_time,avg_execution_time,avg_wait_time,wait_percentage,high_wait_count,sample_count
resnet50-inference,5,376.0578486470716,376.0578486470716,0.0,0.0,0,9
python-pi,5,994.2876697364502,916.1176113570543,78.170058379396,7.8619156969045045,3,7
python-pi,5,994.2876697364502,916.1176113570543,78.170058379396,7.8619156969045045,3,7
resnet50-inference,10,376.0578486470716,376.0578486470716,0.0,0.0,0,9
python-pi,10,994.2876697364502,916.1176113570543,78.170058379396,7.8619156969045045,3,7
python-pi,10,994.2876697364502,916.1176113570543,78.170058379396,7.8619156969045045,3,7
resnet50-inference,40,386.97320781080356,386.97320781080356,0.0,0.0,0,73
speech-inference,40,11406.662533786317,3819.9207251408725,7586.741808645444,66.51149524388627,7,7
speech-inference,40,11406.662533786317,3819.9207251408725,7586.741808645444,66.51149524388627,7,7
python-pi,40,1296.7474333235848,1296.7474333235848,0.0,0.0,0,81
python-pi,40,1296.7474333235848,1296.7474333235848,0.0,0.0,0,81
resnet50-inference,45,387.1750700283554,387.1750700283554,0.0,0.0,0,36
speech-inference,45,12364.22640107329,3746.589612828956,8617.636788244334,69.69814777490868,1,1
speech-inference,45,12364.22640107329,3746.589612828956,8617.636788244334,69.69814777490868,1,1
python-pi,45,1342.2026591897375,1342.2026591897375,0.0,0.0,0,35
python-pi,45,1342.2026591897375,1342.2026591897375,0.0,0.0,0,35
resnet50-inference,75,388.2622843732642,388.2622843732642,0.0,0.0,0,70
speech-inference,75,13988.213924302587,3796.7168147108514,10191.497109591732,72.8577441319039,7,13
speech-inference,75,13988.213924302587,3796.7168147108514,10191.497109591732,72.8577441319039,7,13
resnet50-preprocessing,75,46718.196067627265,7649.366638428517,39068.82942919875,83.62657961502704,3,3
resnet50-preprocessing,75,46718.196067627265,7649.366638428517,39068.82942919875,83.62657961502704,3,3
python-pi,75,1200.4789658617042,1200.4789658617042,0.0,0.0,0,78
python-pi,75,1200.4789658617042,1200.4789658617042,0.0,0.0,0,78
resnet50-inference,80,391.2901144487244,391.2901144487244,0.0,0.0,0,33
speech-inference,80,13048.467375185537,3771.7770807546385,9276.690294430897,71.09409885234886,1,2
speech-inference,80,13048.467375185537,3771.7770807546385,9276.690294430897,71.09409885234886,1,2
python-pi,80,1156.3346675786756,1156.3346675786756,0.0,0.0,0,32
python-pi,80,1156.3346675786756,1156.3346675786756,0.0,0.0,0,32
resnet50-inference,110,386.4083159407776,386.4083159407776,0.0,0.0,0,33
speech-inference,110,7446.205412470576,3827.718435769062,3618.4869767015134,48.59504641977014,6,8
speech-inference,110,7446.205412470576,3827.718435769062,3618.4869767015134,48.59504641977014,6,8
resnet50-preprocessing,110,13288.019849774279,7581.767305088817,5706.2525446854615,42.942835796429016,2,2
resnet50-preprocessing,110,13288.019849774279,7581.767305088817,5706.2525446854615,42.942835796429016,2,2
python-pi,110,1167.2097198608712,1167.2097198608712,0.0,0.0,0,37
python-pi,110,1167.2097198608712,1167.2097198608712,0.0,0.0,0,37
resnet50-inference,115,390.83090181242807,390.83090181242807,0.0,0.0,0,15
speech-inference,115,6289.563139567364,3750.126919486249,2539.4362200811147,40.37539911326486,1,1
speech-inference,115,6289.563139567364,3750.126919486249,2539.4362200811147,40.37539911326486,1,1
python-pi,115,1074.0451599084101,1074.0451599084101,0.0,0.0,0,14
python-pi,115,1074.0451599084101,1074.0451599084101,0.0,0.0,0,14
resnet50-inference,145,392.6638596273809,392.6638596273809,0.0,0.0,0,3
