value,function_name,node_name,replica_id
deploy,resnet50-inference,nx_10,139971282889136
deploy,speech-inference,rockpi_30,139971282890000
deploy,resnet50-preprocessing,rockpi_30,139971283128656
deploy,resnet50-training,nano_3,139971283129616
deploy,python-pi,rockpi_8,139971283130576
deploy,fio,rpi3_3,139971283131536
startup,fio,rpi3_3,139971283131536
setup,fio,rpi3_3,139971283131536
finish,fio,rpi3_3,139971283131536
startup,python-pi,rockpi_8,139971283130576
setup,python-pi,rockpi_8,139971283130576
finish,python-pi,rockpi_8,139971283130576
startup,speech-inference,rockpi_30,139971282890000
setup,speech-inference,rockpi_30,139971282890000
startup,resnet50-inference,nx_10,139971282889136
setup,resnet50-inference,nx_10,139971282889136
startup,resnet50-training,nano_3,139971283129616
setup,resnet50-training,nano_3,139971283129616
finish,resnet50-training,nano_3,139971283129616
finish,speech-inference,rockpi_30,139971282890000
finish,resnet50-inference,nx_10,139971282889136
startup,resnet50-preprocessing,rockpi_30,139971283128656
setup,resnet50-preprocessing,rockpi_30,139971283128656
finish,resnet50-preprocessing,rockpi_30,139971283128656
deploy,python-pi,rockpi_8,139971280672304
startup,python-pi,rockpi_8,139971280672304
setup,python-pi,rockpi_8,139971280672304
finish,python-pi,rockpi_8,139971280672304
deploy,python-pi,nx_10,139971279613488
startup,python-pi,nx_10,139971279613488
setup,python-pi,nx_10,139971279613488
finish,python-pi,nx_10,139971279613488
deploy,python-pi,coral_1,139971278355424
deploy,fio,rpi3_3,139971279128464
startup,fio,rpi3_3,139971279128464
setup,fio,rpi3_3,139971279128464
finish,fio,rpi3_3,139971279128464
startup,python-pi,coral_1,139971278355424
setup,python-pi,coral_1,139971278355424
finish,python-pi,coral_1,139971278355424
deploy,python-pi,coral_3,139971277334720
deploy,fio,rpi3_4,139971276966400
startup,fio,rpi3_4,139971276966400
setup,fio,rpi3_4,139971276966400
finish,fio,rpi3_4,139971276966400
startup,python-pi,coral_3,139971277334720
setup,python-pi,coral_3,139971277334720
finish,python-pi,coral_3,139971277334720
deploy,python-pi,rpi3_5,139971276257696
deploy,fio,rpi3_4,139971278964144
startup,fio,rpi3_4,139971278964144
setup,fio,rpi3_4,139971278964144
finish,fio,rpi3_4,139971278964144
startup,python-pi,rpi3_5,139971276257696
setup,python-pi,rpi3_5,139971276257696
finish,python-pi,rpi3_5,139971276257696
deploy,speech-inference,rockpi_13,139971277166128
deploy,python-pi,rockpi_13,139971275255104
deploy,fio,rpi3_21,139971275253664
startup,fio,rpi3_21,139971275253664
setup,fio,rpi3_21,139971275253664
finish,fio,rpi3_21,139971275253664
startup,speech-inference,rockpi_13,139971277166128
setup,speech-inference,rockpi_13,139971277166128
startup,python-pi,rockpi_13,139971275255104
setup,python-pi,rockpi_13,139971275255104
finish,python-pi,rockpi_13,139971275255104
finish,speech-inference,rockpi_13,139971277166128
deploy,speech-inference,nx_3,139971274887744
deploy,python-pi,nx_3,139971272362736
deploy,fio,rpi3_21,139971272361824
startup,fio,rpi3_21,139971272361824
setup,fio,rpi3_21,139971272361824
finish,fio,rpi3_21,139971272361824
startup,speech-inference,nx_3,139971274887744
setup,speech-inference,nx_3,139971274887744
startup,python-pi,nx_3,139971272362736
setup,python-pi,nx_3,139971272362736
finish,python-pi,nx_3,139971272362736
finish,speech-inference,nx_3,139971274887744
teardown,speech-inference,nx_3,139971274887744
deploy,python-pi,nx_3,139971271314592
startup,python-pi,nx_3,139971271314592
setup,python-pi,nx_3,139971271314592
finish,python-pi,nx_3,139971271314592
deploy,fio,rpi3_22,139971271315456
startup,fio,rpi3_22,139971271315456
setup,fio,rpi3_22,139971271315456
finish,fio,rpi3_22,139971271315456
deploy,python-pi,rockpi_12,139971270187888
deploy,fio,rpi3_22,139971271872512
startup,fio,rpi3_22,139971271872512
setup,fio,rpi3_22,139971271872512
finish,fio,rpi3_22,139971271872512
startup,python-pi,rockpi_12,139971270187888
setup,python-pi,rockpi_12,139971270187888
finish,python-pi,rockpi_12,139971270187888
deploy,python-pi,rockpi_12,139971269188464
startup,python-pi,rockpi_12,139971269188464
setup,python-pi,rockpi_12,139971269188464
finish,python-pi,rockpi_12,139971269188464
deploy,fio,rpi3_23,139971272047440
startup,fio,rpi3_23,139971272047440
setup,fio,rpi3_23,139971272047440
finish,fio,rpi3_23,139971272047440
deploy,python-pi,rockpi_5,139971268127728
deploy,fio,rpi3_23,139971269791504
startup,fio,rpi3_23,139971269791504
setup,fio,rpi3_23,139971269791504
finish,fio,rpi3_23,139971269791504
startup,python-pi,rockpi_5,139971268127728
setup,python-pi,rockpi_5,139971268127728
finish,python-pi,rockpi_5,139971268127728
deploy,python-pi,rockpi_5,139971268836128
startup,python-pi,rockpi_5,139971268836128
setup,python-pi,rockpi_5,139971268836128
finish,python-pi,rockpi_5,139971268836128
deploy,fio,rpi3_27,139971268258080
startup,fio,rpi3_27,139971268258080
setup,fio,rpi3_27,139971268258080
finish,fio,rpi3_27,139971268258080
deploy,speech-inference,rockpi_21,139971267915744
deploy,resnet50-preprocessing,rockpi_21,139971267698432
deploy,python-pi,rockpi_19,139971266081936
deploy,fio,rpi3_27,139971266082080
startup,fio,rpi3_27,139971266082080
setup,fio,rpi3_27,139971266082080
finish,fio,rpi3_27,139971266082080
startup,python-pi,rockpi_19,139971266081936
setup,python-pi,rockpi_19,139971266081936
finish,python-pi,rockpi_19,139971266081936
startup,speech-inference,rockpi_21,139971267915744
setup,speech-inference,rockpi_21,139971267915744
finish,speech-inference,rockpi_21,139971267915744
startup,resnet50-preprocessing,rockpi_21,139971267698432
setup,resnet50-preprocessing,rockpi_21,139971267698432
finish,resnet50-preprocessing,rockpi_21,139971267698432
deploy,speech-inference,rockpi_19,139971265047968
deploy,python-pi,nx_13,139971265208976
deploy,fio,rpi3_28,139971265207392
startup,fio,rpi3_28,139971265207392
setup,fio,rpi3_28,139971265207392
finish,fio,rpi3_28,139971265207392
startup,speech-inference,rockpi_19,139971265047968
setup,speech-inference,rockpi_19,139971265047968
startup,python-pi,nx_13,139971265208976
setup,python-pi,nx_13,139971265208976
finish,python-pi,nx_13,139971265208976
finish,speech-inference,rockpi_19,139971265047968
teardown,speech-inference,rockpi_19,139971265047968
teardown,speech-inference,rockpi_21,139971267915744
deploy,speech-inference,rockpi_21,139971270523200
startup,speech-inference,rockpi_21,139971270523200
setup,speech-inference,rockpi_21,139971270523200
deploy,resnet50-preprocessing,rockpi_19,139971262394816
deploy,python-pi,nx_13,139971261513392
startup,python-pi,nx_13,139971261513392
setup,python-pi,nx_13,139971261513392
finish,python-pi,nx_13,139971261513392
finish,speech-inference,rockpi_21,139971270523200
startup,resnet50-preprocessing,rockpi_19,139971262394816
setup,resnet50-preprocessing,rockpi_19,139971262394816
finish,resnet50-preprocessing,rockpi_19,139971262394816
teardown,resnet50-preprocessing,rockpi_19,139971262394816
deploy,speech-inference,rockpi_16,139971259048400
deploy,python-pi,rockpi_19,139971259242560
startup,python-pi,rockpi_19,139971259242560
setup,python-pi,rockpi_19,139971259242560
finish,python-pi,rockpi_19,139971259242560
startup,speech-inference,rockpi_16,139971259048400
setup,speech-inference,rockpi_16,139971259048400
finish,speech-inference,rockpi_16,139971259048400
teardown,speech-inference,rockpi_16,139971259048400
teardown,python-pi,rockpi_19,139971259242560
teardown,fio,rpi3_28,139971265207392
teardown,speech-inference,rockpi_21,139971270523200
teardown,python-pi,nx_13,139971261513392
teardown,fio,rpi3_27,139971266082080
teardown,python-pi,nx_13,139971265208976
teardown,fio,rpi3_27,139971268258080
teardown,python-pi,rockpi_19,139971266081936
teardown,fio,rpi3_23,139971269791504
teardown,python-pi,rockpi_5,139971268836128
teardown,fio,rpi3_23,139971272047440
teardown,fio,rpi3_22,139971271872512
deploy,speech-inference,rockpi_5,139971269796736
deploy,resnet50-preprocessing,rockpi_21,139971253391072
startup,resnet50-preprocessing,rockpi_21,139971253391072
setup,resnet50-preprocessing,rockpi_21,139971253391072
finish,resnet50-preprocessing,rockpi_21,139971253391072
deploy,python-pi,rockpi_19,139971254399712
startup,python-pi,rockpi_19,139971254399712
setup,python-pi,rockpi_19,139971254399712
finish,python-pi,rockpi_19,139971254399712
startup,speech-inference,rockpi_5,139971269796736
setup,speech-inference,rockpi_5,139971269796736
finish,speech-inference,rockpi_5,139971269796736
teardown,speech-inference,rockpi_5,139971269796736
teardown,resnet50-preprocessing,rockpi_21,139971253391072
teardown,fio,rpi3_22,139971271315456
deploy,python-pi,rockpi_5,139971252481872
startup,python-pi,rockpi_5,139971252481872
setup,python-pi,rockpi_5,139971252481872
finish,python-pi,rockpi_5,139971252481872
teardown,python-pi,rockpi_5,139971252481872
teardown,fio,rpi3_21,139971272361824
teardown,python-pi,rockpi_19,139971254399712
teardown,fio,rpi3_21,139971275253664
teardown,python-pi,rockpi_5,139971268127728
teardown,fio,rpi3_4,139971278964144
teardown,python-pi,rockpi_12,139971269188464
