timestamp,strategy,deployment,action,old_replica_count,new_replica_count,selected_node,selected_node_type,current_load_rps,avg_response_time_ms,reason,scaling_direction
5,LowPowerLongTimeBinPacker,resnet50-inference,no_action,1,1,,,2.2,376.0578486470716,Within thresholds,0
5,LowPowerLongTimeBinPacker,speech-inference,no_action,1,1,,,0.4,0.0,Within thresholds,0
5,LowPowerLongTimeBinPacker,resnet50-preprocessing,no_action,1,1,,,0.4,0.0,Within thresholds,0
5,LowPowerLongTimeBinPacker,resnet50-training,no_action,1,1,,,1.0,0.0,Within thresholds,0
5,LowPowerLongTimeBinPacker,python-pi,scale_up,1,2,rockpi_8,rockpi,0.0,994.2876697364502,,1
5,LowPowerLongTimeBinPacker,fio,no_action,1,1,,,2.6,0.0,Within thresholds,0
10,LowPowerLongTimeBinPacker,resnet50-inference,no_action,1,1,,,4.8,376.0578486470716,Within thresholds,0
10,LowPowerLongTimeBinPacker,speech-inference,no_action,1,1,,,1.2,0.0,Within thresholds,0
10,LowPowerLongTimeBinPacker,resnet50-preprocessing,no_action,1,1,,,1.2,0.0,Within thresholds,0
10,LowPowerLongTimeBinPacker,resnet50-training,no_action,1,1,,,2.4,0.0,Within thresholds,0
10,LowPowerLongTimeBinPacker,python-pi,scale_up,2,3,rockpi_8,rockpi,0.0,994.2876697364502,,1
10,LowPowerLongTimeBinPacker,fio,no_action,1,1,,,6.2,0.0,Within thresholds,0
15,LowPowerLongTimeBinPacker,resnet50-inference,no_action,1,1,,,5.6,0.0,Within thresholds,0
15,LowPowerLongTimeBinPacker,speech-inference,no_action,1,1,,,1.4,0.0,Within thresholds,0
15,LowPowerLongTimeBinPacker,resnet50-preprocessing,no_action,1,1,,,1.4,0.0,Within thresholds,0
15,LowPowerLongTimeBinPacker,resnet50-training,no_action,1,1,,,2.8,0.0,Within thresholds,0
15,LowPowerLongTimeBinPacker,python-pi,no_action,3,3,,,7.0,0.0,Within thresholds,0
15,LowPowerLongTimeBinPacker,fio,no_action,1,1,,,7.0,0.0,Within thresholds,0
20,LowPowerLongTimeBinPacker,resnet50-inference,no_action,1,1,,,6.0,0.0,Within thresholds,0
20,LowPowerLongTimeBinPacker,speech-inference,no_action,1,1,,,1.6,0.0,Within thresholds,0
20,LowPowerLongTimeBinPacker,resnet50-preprocessing,no_action,1,1,,,1.6,0.0,Within thresholds,0
20,LowPowerLongTimeBinPacker,resnet50-training,no_action,1,1,,,3.0,0.0,Within thresholds,0
20,LowPowerLongTimeBinPacker,python-pi,no_action,3,3,,,7.6,0.0,Within thresholds,0
20,LowPowerLongTimeBinPacker,fio,no_action,1,1,,,7.6,0.0,Within thresholds,0
25,LowPowerLongTimeBinPacker,resnet50-inference,no_action,1,1,,,6.6,0.0,Within thresholds,0
25,LowPowerLongTimeBinPacker,speech-inference,no_action,1,1,,,1.6,0.0,Within thresholds,0
25,LowPowerLongTimeBinPacker,resnet50-preprocessing,no_action,1,1,,,1.6,0.0,Within thresholds,0
25,LowPowerLongTimeBinPacker,resnet50-training,no_action,1,1,,,3.4,0.0,Within thresholds,0
25,LowPowerLongTimeBinPacker,python-pi,scale_up,3,4,rockpi_8,rockpi,0.0,0.0,,1
25,LowPowerLongTimeBinPacker,fio,scale_up,1,2,rpi3_3,rpi3,0.0,0.0,,1
30,LowPowerLongTimeBinPacker,resnet50-inference,no_action,1,1,,,7.0,0.0,Within thresholds,0
30,LowPowerLongTimeBinPacker,speech-inference,no_action,1,1,,,1.8,0.0,Within thresholds,0
30,LowPowerLongTimeBinPacker,resnet50-preprocessing,no_action,1,1,,,1.8,0.0,Within thresholds,0
30,LowPowerLongTimeBinPacker,resnet50-training,no_action,1,1,,,3.4,0.0,Within thresholds,0
30,LowPowerLongTimeBinPacker,python-pi,scale_up,4,5,rockpi_8,rockpi,0.0,0.0,,1
30,LowPowerLongTimeBinPacker,fio,scale_up,2,3,rpi3_3,rpi3,0.0,0.0,,1
35,LowPowerLongTimeBinPacker,resnet50-inference,no_action,1,1,,,7.4,0.0,Within thresholds,0
35,LowPowerLongTimeBinPacker,speech-inference,no_action,1,1,,,1.8,0.0,Within thresholds,0
35,LowPowerLongTimeBinPacker,resnet50-preprocessing,no_action,1,1,,,1.8,0.0,Within thresholds,0
35,LowPowerLongTimeBinPacker,resnet50-training,no_action,1,1,,,3.8,0.0,Within thresholds,0
35,LowPowerLongTimeBinPacker,python-pi,scale_up,5,6,rockpi_8,rockpi,0.0,0.0,,1
35,LowPowerLongTimeBinPacker,fio,scale_up,3,4,rpi3_3,rpi3,0.0,0.0,,1
40,LowPowerLongTimeBinPacker,resnet50-inference,no_action,1,1,,,7.8,386.97320781080356,Within thresholds,0
40,LowPowerLongTimeBinPacker,speech-inference,scale_up,1,2,rockpi_30,rockpi,0.0,11406.662533786317,,1
40,LowPowerLongTimeBinPacker,resnet50-preprocessing,no_action,1,1,,,2.0,0.0,Within thresholds,0
40,LowPowerLongTimeBinPacker,resnet50-training,no_action,1,1,,,3.8,0.0,Within thresholds,0
40,LowPowerLongTimeBinPacker,python-pi,scale_up,6,7,rockpi_8,rockpi,0.0,1296.7474333235848,,1
40,LowPowerLongTimeBinPacker,fio,scale_up,4,5,rpi3_3,rpi3,0.0,0.0,,1
45,LowPowerLongTimeBinPacker,resnet50-inference,no_action,1,1,,,7.8,387.1750700283554,Within thresholds,0
45,LowPowerLongTimeBinPacker,speech-inference,scale_up,2,3,rockpi_30,rockpi,0.0,12364.22640107329,,1
45,LowPowerLongTimeBinPacker,resnet50-preprocessing,no_action,1,1,,,1.8,0.0,Within thresholds,0
45,LowPowerLongTimeBinPacker,resnet50-training,no_action,1,1,,,4.0,0.0,Within thresholds,0
45,LowPowerLongTimeBinPacker,python-pi,scale_up,7,8,rockpi_8,rockpi,0.0,1342.2026591897375,,1
45,LowPowerLongTimeBinPacker,fio,scale_up,5,6,rpi3_3,rpi3,0.0,0.0,,1
50,LowPowerLongTimeBinPacker,resnet50-inference,no_action,1,1,,,8.0,0.0,Within thresholds,0
50,LowPowerLongTimeBinPacker,speech-inference,scale_down,3,2,,,0.0,0.0,"Low load: 0.0 RPS, Response: 0.0ms",-1
50,LowPowerLongTimeBinPacker,resnet50-preprocessing,no_action,1,1,,,2.0,0.0,Within thresholds,0
50,LowPowerLongTimeBinPacker,resnet50-training,no_action,1,1,,,4.0,0.0,Within thresholds,0
50,LowPowerLongTimeBinPacker,python-pi,scale_up,8,9,rockpi_8,rockpi,0.0,0.0,,1
