bytes,duration,source,sink,action_type
20000000,0.1683434256934779,registry,rpi3_3,docker_pull
62000000,0.5146765805356527,registry,rockpi_8,docker_pull
40000000,0.6594137589597664,registry,rockpi_30,docker_pull
100000000,0.8262255274850616,registry,nx_10,docker_pull
100000000,0.82615512929614,registry,nano_3,docker_pull
48000000,0.7978637168758524,rockpi_4,rockpi_30,data_download
103000000,1.1692127559565797,rockpi_4,nx_10,data_download
191000000,2.3006897019275896,registry,rockpi_30,docker_pull
58000000,1.5757872201555951,rockpi_4,nano_3,data_download
58000000,1.7073580777316044,rockpi_4,nano_3,data_download
58000000,1.648178566478768,rockpi_4,nano_3,data_download
58000000,1.63070730859515,rockpi_4,nano_3,data_download
100000000,0.8263491901806859,registry,nx_3,docker_pull
103000000,0.8540473774382429,rockpi_4,nx_3,data_download
20000000,0.16810897184839035,registry,rpi3_4,docker_pull
62000000,0.5129524998003827,registry,nx_10,docker_pull
100000000,0.8263233271206101,registry,nano_17,docker_pull
100000000,0.8265356831546846,registry,nano_15,docker_pull
58000000,2.068692141015914,rockpi_4,nano_15,data_download
58000000,2.204211042829437,rockpi_4,nano_15,data_download
58000000,2.123032622519913,rockpi_4,nano_15,data_download
58000000,2.077672192339845,rockpi_4,nano_15,data_download
103000000,2.7100144688637613,rockpi_4,nano_17,data_download
62000000,0.5128706424314835,registry,coral_1,docker_pull
100000000,0.8263228708928132,registry,nano_26,docker_pull
100000000,0.8264317088703077,registry,nx_13,docker_pull
58000000,1.941767371029833,rockpi_4,nx_13,data_download
58000000,2.106707709151678,rockpi_4,nx_13,data_download
58000000,1.9926591811977907,rockpi_4,nx_13,data_download
58000000,1.9457952560935148,rockpi_4,nx_13,data_download
103000000,2.6708063759131377,rockpi_4,nano_26,data_download
20000000,0.1681969961373717,registry,rpi3_5,docker_pull
62000000,0.5129684183134486,registry,coral_3,docker_pull
100000000,0.8266323995189246,registry,nano_18,docker_pull
100000000,0.8264749439284884,registry,nano_19,docker_pull
58000000,1.8318556636689145,rockpi_4,nano_19,data_download
58000000,1.9329562316473314,rockpi_4,nano_19,data_download
58000000,1.9292655519713122,rockpi_4,nano_19,data_download
58000000,1.8221464516802257,rockpi_4,nano_19,data_download
103000000,2.652677571697847,rockpi_4,nano_18,data_download
62000000,0.5144492793610951,registry,rockpi_13,docker_pull
100000000,0.8262895383148781,registry,nx_4,docker_pull
100000000,0.8260814131716394,registry,nano_9,docker_pull
58000000,1.7347819863786462,rockpi_4,nano_9,data_download
58000000,1.8526592725790572,rockpi_4,nano_9,data_download
58000000,1.9261478201429583,rockpi_4,nano_9,data_download
103000000,2.6269334683087813,rockpi_4,nx_4,data_download
58000000,1.6923927204273461,rockpi_4,nano_9,data_download
20000000,0.16812951026845724,registry,rpi3_21,docker_pull
100000000,0.8262995028811666,registry,nano_12,docker_pull
100000000,0.8261072637681117,registry,nano_21,docker_pull
58000000,1.6458520258956923,rockpi_4,nano_21,data_download
58000000,1.7237011843072025,rockpi_4,nano_21,data_download
103000000,2.364547403368878,rockpi_4,nano_12,data_download
58000000,1.694062420939641,rockpi_4,nano_21,data_download
58000000,1.4700122046182713,rockpi_4,nano_21,data_download
62000000,0.5128570768826393,registry,nx_3,docker_pull
100000000,0.8261596743570578,registry,nx_7,docker_pull
100000000,0.8264018437811913,registry,nano_20,docker_pull
58000000,1.562042201892595,rockpi_4,nano_20,data_download
58000000,1.8645305511940151,rockpi_4,nano_20,data_download
103000000,2.4800506628983996,rockpi_4,nx_7,data_download
58000000,1.7146892351618703,rockpi_4,nano_20,data_download
58000000,1.4045535957860622,rockpi_4,nano_20,data_download
20000000,0.16804508241268934,registry,rpi3_22,docker_pull
62000000,0.5148992220598956,registry,rockpi_12,docker_pull
100000000,0.8263574188452765,registry,nx_11,docker_pull
100000000,0.8264191192562294,registry,nano_22,docker_pull
58000000,1.4833437766133102,rockpi_4,nano_22,data_download
103000000,2.0991273332858214,rockpi_4,nx_11,data_download
58000000,1.606683237298462,rockpi_4,nano_22,data_download
58000000,1.5329649796778213,rockpi_4,nano_22,data_download
58000000,1.208815752665366,rockpi_4,nano_22,data_download
100000000,0.8260449819059517,registry,nano_10,docker_pull
100000000,0.8261935525655986,registry,nano_11,docker_pull
58000000,1.4042151255189737,rockpi_4,nano_11,data_download
58000000,1.5804523953077947,rockpi_4,nano_11,data_download
103000000,2.2803779907318003,rockpi_4,nano_10,data_download
58000000,1.5721933829468355,rockpi_4,nano_11,data_download
58000000,1.2036077759995294,rockpi_4,nano_11,data_download
20000000,0.16821737896420785,registry,rpi3_23,docker_pull
40000000,0.6594385741828788,registry,rockpi_5,docker_pull
100000000,0.8264001555474891,registry,nano_28,docker_pull
100000000,0.8280920448770956,registry,nano_0,docker_pull
62000000,0.9932162082305069,registry,rockpi_5,docker_pull
48000000,1.1992244492709503,rockpi_4,rockpi_5,data_download
58000000,1.6997988743342773,rockpi_4,nano_0,data_download
58000000,1.9322235794369433,rockpi_4,nano_0,data_download
103000000,2.7813744927511195,rockpi_4,nano_28,data_download
