t_wait,t_exec,t_start,memory,function_name,function_image,node,replica_id
0.0,0.3773608033597511,2.5662320636095752,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,139949313746800
0.0,0.37889422582082766,2.632336990329402,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,139949313746800
0.0,0.37047925073808097,2.698315531155501,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,139949313746800
0.0,0.3726278151174167,2.764168430262798,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,139949313746800
0.0,0.4860458961765066,2.829896425090315,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,139949313746800
0.0,0.49358023984919397,2.8955002464250104,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,139949313746800
0.0,0.4862665069160399,2.960980618484295,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,139949313746800
0.0,0.9171473125923693,2.554544052384356,104857600,python-pi,faas-workloads/python-pi,rockpi_8,139949313988240
0.0,0.477506164933192,3.026338258997253,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,139949313746800
0.0,0.9059971420446264,2.609001849959533,104857600,python-pi,faas-workloads/python-pi,rockpi_8,139949313988240
0.0,0.9087507875249528,2.663373812656297,104857600,python-pi,faas-workloads/python-pi,rockpi_8,139949313988240
0.0,0.929869109847711,2.7176603572601192,104857600,python-pi,faas-workloads/python-pi,rockpi_8,139949313988240
0.0,0.6138277382913477,3.0915738792845873,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,139949313746800
0.0,0.605081742298335,3.156688184337319,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,139949313746800
0.0,0.6221623172794541,3.2216818728942593,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,139949313746800
0.0,0.591851045498029,3.2865556375182785,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,139949313746800
0.0,0.7341835745799772,3.351310164671398,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,139949313746800
0.0,0.7257182385777932,3.4159461347887246,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,139949313746800
0.0,0.761914507492012,3.4804642223512454,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,139949313746800
0.0,0.7182518614705962,3.5448650959575123,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,139949313746800
0.0,1.6208135675432396,2.7718618974435896,104857600,python-pi,faas-workloads/python-pi,rockpi_8,139949313988240
0.0,1.6104989111544743,2.825978843798403,104857600,python-pi,faas-workloads/python-pi,rockpi_8,139949313988240
0.0,0.8494615166427106,3.60914941839423,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,139949313746800
0.0,1.6007090608452206,2.8800116038669286,104857600,python-pi,faas-workloads/python-pi,rockpi_8,139949313988240
0.0,0.8526274214252814,3.6733178467057703,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,139949313746800
0.0,1.6172752367067815,2.9339605821733716,104857600,python-pi,faas-workloads/python-pi,rockpi_8,139949313988240
0.0,0.8811330662810373,3.7373710322626335,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,139949313746800
0.0,0.8462693659080904,3.801309620828872,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,139949313746800
0.0,0.970942922908451,3.8651342526285033,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,139949313746800
0.0,0.9810023383945223,3.9288455624109195,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,139949313746800
0.0,1.0085428076656946,3.9924441795153225,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,139949313746800
0.0,0.9819676655881056,4.055930727934196,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,139949313746800
0.0,1.0911506807450948,4.119305826375831,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,139949313746800
0.0,1.1014773940998968,4.18257008832593,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,139949313746800
0.0,2.310185246683673,2.9878261802545287,104857600,python-pi,faas-workloads/python-pi,rockpi_8,139949313988240
0.0,2.299223796089248,3.0416087966901464,104857600,python-pi,faas-workloads/python-pi,rockpi_8,139949313988240
0.0,1.134639566513334,4.245724122108296,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,139949313746800
0.0,2.288553884958879,3.0953088271328886,104857600,python-pi,faas-workloads/python-pi,rockpi_8,139949313988240
0.0,1.109302805192807,4.3087685309446275,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,139949313746800
0.0,2.3059429695750002,3.148926664337918,104857600,python-pi,faas-workloads/python-pi,rockpi_8,139949313988240
0.0,1.2194335352481982,4.371703913013438,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,139949313746800
0.0,1.2334409913106388,4.434530861508111,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,139949313746800
0.0,1.265936314154195,4.497249964694107,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,139949313746800
0.0,1.2329655049550823,4.559861805965342,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,139949313746800
0.0,1.3517321546467604,4.6223669638997436,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,139949313746800
0.0,0.9115699145794967,5.07834970806601,104857600,python-pi,faas-workloads/python-pi,rockpi_8,139949311918192
0.0,1.3659502296996795,4.684766012314005,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,139949313746800
0.0,0.9197414363464711,5.179800049310407,104857600,python-pi,faas-workloads/python-pi,rockpi_8,139949311918192
0.0,1.3639270000394514,4.8092480523657395,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,139949313746800
0.0,0.9039183056030522,5.280976144190067,104857600,python-pi,faas-workloads/python-pi,rockpi_8,139949311918192
0.0,1.4462440949415383,4.747059520317554,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,139949313746800
0.0,3.004431577283499,3.202462698192099,104857600,python-pi,faas-workloads/python-pi,rockpi_8,139949313988240
0.0,3.0002550835373953,3.255917315742828,104857600,python-pi,faas-workloads/python-pi,rockpi_8,139949313988240
0.0,0.9053132260141981,5.381880348060419,104857600,python-pi,faas-workloads/python-pi,rockpi_8,139949311918192
0.0,2.9886369218825846,3.3092909012264946,104857600,python-pi,faas-workloads/python-pi,rockpi_8,139949313988240
0.0,1.4838659756022272,4.871332168312263,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,139949313746800
0.0,2.9955731507780485,3.3625838360965807,104857600,python-pi,faas-workloads/python-pi,rockpi_8,139949313988240
0.0,1.4985988346802763,4.933312423460855,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,139949313746800
0.0,1.5533341018149667,4.99518936861622,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,139949313746800
0.0,1.5263608895306344,5.056963550134259,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,139949313746800
0.0,3.935702635442118,2.8090829635113503,104857600,speech-inference,faas-workloads/speech-inference-tflite,rockpi_30,139949313747664
0.0,1.6284112816077299,5.118635509971574,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,139949313746800
0.0,1.6268469101042076,5.180205785734284,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,139949313746800
0.0,3.735303161523447,3.115417378566999,104857600,speech-inference,faas-workloads/speech-inference-tflite,rockpi_30,139949313747664
0.0,1.4318408163209737,5.48251498557604,104857600,python-pi,faas-workloads/python-pi,rockpi_8,139949311918192
0.0,1.6794822699054297,5.241674910726148,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,139949313746800
0.0,1.658940138247467,5.303043413996017,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_10,139949313746800
