timestamp,strategy,deployment,current_replicas,current_load_rps,avg_response_time_ms,evaluation_type
5,LowPowerLongTimeBinPacker,resnet50-inference,1,11.2,876.5516249936617,scaling_check
5,LowPowerLongTimeBinPacker,speech-inference,1,2.4,0.0,scaling_check
5,LowPowerLongTimeBinPacker,resnet50-preprocessing,1,0.8,0.0,scaling_check
5,LowPowerLongTimeBinPacker,resnet50-training,1,6.4,0.0,scaling_check
5,LowPowerLongTimeBinPacker,python-pi,1,13.6,1297.9757499830039,scaling_check
5,LowPowerLongTimeBinPacker,fio,1,13.6,0.0,scaling_check
10,LowPowerLongTimeBinPacker,resnet50-inference,2,24.2,0.0,scaling_check
10,LowPowerLongTimeBinPacker,speech-inference,1,5.2,0.0,scaling_check
10,LowPowerLongTimeBinPacker,resnet50-preprocessing,1,1.6,0.0,scaling_check
10,LowPowerLongTimeBinPacker,resnet50-training,2,13.8,0.0,scaling_check
10,LowPowerLongTimeBinPacker,python-pi,2,29.6,0.0,scaling_check
10,LowPowerLongTimeBinPacker,fio,2,29.6,0.0,scaling_check
15,LowPowerLongTimeBinPacker,resnet50-inference,3,26.6,0.0,scaling_check
15,LowPowerLongTimeBinPacker,speech-inference,2,5.6,0.0,scaling_check
15,LowPowerLongTimeBinPacker,resnet50-preprocessing,1,2.0,0.0,scaling_check
15,LowPowerLongTimeBinPacker,resnet50-training,3,15.2,0.0,scaling_check
15,LowPowerLongTimeBinPacker,python-pi,3,32.0,0.0,scaling_check
15,LowPowerLongTimeBinPacker,fio,3,32.0,0.0,scaling_check
20,LowPowerLongTimeBinPacker,resnet50-inference,4,28.4,0.0,scaling_check
20,LowPowerLongTimeBinPacker,speech-inference,3,6.0,0.0,scaling_check
20,LowPowerLongTimeBinPacker,resnet50-preprocessing,1,2.0,0.0,scaling_check
20,LowPowerLongTimeBinPacker,resnet50-training,4,16.2,0.0,scaling_check
20,LowPowerLongTimeBinPacker,python-pi,4,34.6,0.0,scaling_check
20,LowPowerLongTimeBinPacker,fio,4,34.6,0.0,scaling_check
25,LowPowerLongTimeBinPacker,resnet50-inference,5,30.6,0.0,scaling_check
25,LowPowerLongTimeBinPacker,speech-inference,4,6.6,0.0,scaling_check
25,LowPowerLongTimeBinPacker,resnet50-preprocessing,1,2.2,0.0,scaling_check
25,LowPowerLongTimeBinPacker,resnet50-training,5,17.4,0.0,scaling_check
25,LowPowerLongTimeBinPacker,python-pi,5,37.2,0.0,scaling_check
25,LowPowerLongTimeBinPacker,fio,5,37.2,0.0,scaling_check
30,LowPowerLongTimeBinPacker,resnet50-inference,6,32.4,0.0,scaling_check
30,LowPowerLongTimeBinPacker,speech-inference,5,7.0,0.0,scaling_check
30,LowPowerLongTimeBinPacker,resnet50-preprocessing,1,2.2,0.0,scaling_check
30,LowPowerLongTimeBinPacker,resnet50-training,6,18.6,0.0,scaling_check
30,LowPowerLongTimeBinPacker,python-pi,6,39.2,0.0,scaling_check
30,LowPowerLongTimeBinPacker,fio,6,39.2,0.0,scaling_check
35,LowPowerLongTimeBinPacker,resnet50-inference,7,34.2,0.0,scaling_check
35,LowPowerLongTimeBinPacker,speech-inference,6,7.2,0.0,scaling_check
35,LowPowerLongTimeBinPacker,resnet50-preprocessing,1,2.4,0.0,scaling_check
35,LowPowerLongTimeBinPacker,resnet50-training,7,19.6,0.0,scaling_check
35,LowPowerLongTimeBinPacker,python-pi,7,41.6,0.0,scaling_check
35,LowPowerLongTimeBinPacker,fio,7,41.6,0.0,scaling_check
40,LowPowerLongTimeBinPacker,resnet50-inference,8,35.8,1836.1313156277686,scaling_check
40,LowPowerLongTimeBinPacker,speech-inference,7,7.8,6291.428880435928,scaling_check
40,LowPowerLongTimeBinPacker,resnet50-preprocessing,1,2.6,0.0,scaling_check
40,LowPowerLongTimeBinPacker,resnet50-training,8,20.4,0.0,scaling_check
40,LowPowerLongTimeBinPacker,python-pi,8,43.6,12048.970656493344,scaling_check
40,LowPowerLongTimeBinPacker,fio,8,43.6,0.0,scaling_check
45,LowPowerLongTimeBinPacker,resnet50-inference,9,37.4,0.0,scaling_check
45,LowPowerLongTimeBinPacker,speech-inference,8,8.0,0.0,scaling_check
45,LowPowerLongTimeBinPacker,resnet50-preprocessing,1,2.6,0.0,scaling_check
45,LowPowerLongTimeBinPacker,resnet50-training,9,21.4,0.0,scaling_check
45,LowPowerLongTimeBinPacker,python-pi,9,45.2,0.0,scaling_check
45,LowPowerLongTimeBinPacker,fio,9,45.2,0.0,scaling_check
50,LowPowerLongTimeBinPacker,resnet50-inference,10,38.6,0.0,scaling_check
50,LowPowerLongTimeBinPacker,speech-inference,9,8.2,0.0,scaling_check
50,LowPowerLongTimeBinPacker,resnet50-preprocessing,1,2.8,0.0,scaling_check
50,LowPowerLongTimeBinPacker,resnet50-training,10,22.0,0.0,scaling_check
50,LowPowerLongTimeBinPacker,python-pi,10,47.0,0.0,scaling_check
50,LowPowerLongTimeBinPacker,fio,10,47.0,0.0,scaling_check
55,LowPowerLongTimeBinPacker,resnet50-inference,11,39.6,0.0,scaling_check
55,LowPowerLongTimeBinPacker,speech-inference,10,8.6,0.0,scaling_check
55,LowPowerLongTimeBinPacker,resnet50-preprocessing,1,2.8,0.0,scaling_check
55,LowPowerLongTimeBinPacker,resnet50-training,11,22.6,0.0,scaling_check
55,LowPowerLongTimeBinPacker,python-pi,11,48.2,0.0,scaling_check
55,LowPowerLongTimeBinPacker,fio,11,48.2,0.0,scaling_check
60,LowPowerLongTimeBinPacker,resnet50-inference,12,40.6,0.0,scaling_check
60,LowPowerLongTimeBinPacker,speech-inference,11,8.6,0.0,scaling_check
60,LowPowerLongTimeBinPacker,resnet50-preprocessing,1,3.0,0.0,scaling_check
60,LowPowerLongTimeBinPacker,resnet50-training,12,23.2,0.0,scaling_check
60,LowPowerLongTimeBinPacker,python-pi,12,49.2,0.0,scaling_check
60,LowPowerLongTimeBinPacker,fio,12,49.2,0.0,scaling_check
65,LowPowerLongTimeBinPacker,resnet50-inference,13,41.4,0.0,scaling_check
65,LowPowerLongTimeBinPacker,speech-inference,12,8.8,0.0,scaling_check
65,LowPowerLongTimeBinPacker,resnet50-preprocessing,1,3.0,0.0,scaling_check
65,LowPowerLongTimeBinPacker,resnet50-training,13,23.6,0.0,scaling_check
65,LowPowerLongTimeBinPacker,python-pi,13,50.2,0.0,scaling_check
65,LowPowerLongTimeBinPacker,fio,13,50.2,0.0,scaling_check
70,LowPowerLongTimeBinPacker,resnet50-inference,14,41.6,0.0,scaling_check
70,LowPowerLongTimeBinPacker,speech-inference,13,9.0,0.0,scaling_check
70,LowPowerLongTimeBinPacker,resnet50-preprocessing,1,2.8,0.0,scaling_check
70,LowPowerLongTimeBinPacker,resnet50-training,14,23.8,0.0,scaling_check
70,LowPowerLongTimeBinPacker,python-pi,14,50.6,0.0,scaling_check
70,LowPowerLongTimeBinPacker,fio,14,50.6,0.0,scaling_check
75,LowPowerLongTimeBinPacker,resnet50-inference,15,42.0,616.1661726410885,scaling_check
75,LowPowerLongTimeBinPacker,speech-inference,14,9.0,6999.912465322999,scaling_check
75,LowPowerLongTimeBinPacker,resnet50-preprocessing,1,3.0,0.0,scaling_check
75,LowPowerLongTimeBinPacker,resnet50-training,15,24.0,0.0,scaling_check
75,LowPowerLongTimeBinPacker,python-pi,15,51.0,13131.379381525627,scaling_check
75,LowPowerLongTimeBinPacker,fio,15,51.0,0.0,scaling_check
80,LowPowerLongTimeBinPacker,resnet50-inference,16,42.0,0.0,scaling_check
80,LowPowerLongTimeBinPacker,speech-inference,15,9.0,0.0,scaling_check
80,LowPowerLongTimeBinPacker,resnet50-preprocessing,1,3.0,0.0,scaling_check
80,LowPowerLongTimeBinPacker,resnet50-training,16,24.0,0.0,scaling_check
80,LowPowerLongTimeBinPacker,python-pi,16,51.0,0.0,scaling_check
80,LowPowerLongTimeBinPacker,fio,16,51.0,0.0,scaling_check
85,LowPowerLongTimeBinPacker,resnet50-inference,17,41.6,0.0,scaling_check
85,LowPowerLongTimeBinPacker,speech-inference,16,9.0,0.0,scaling_check
85,LowPowerLongTimeBinPacker,resnet50-preprocessing,1,3.0,0.0,scaling_check
85,LowPowerLongTimeBinPacker,resnet50-training,17,23.8,0.0,scaling_check
