value,function_name,image,replica_id,node_name,successful
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,139689554471008,,
queue,speech-inference,faas-workloads/speech-inference-tflite,139689554471872,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,139689554471008,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,139689554471008,nx_10,True
queue,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139689554726816,,
queue,resnet50-training,faas-workloads/resnet-training-gpu,139689554727776,,
queue,python-pi,faas-workloads/python-pi,139689554728736,,
queue,fio,faas-workloads/fio,139689554729696,,
start,speech-inference,faas-workloads/speech-inference-tflite,139689554471872,,
finish,speech-inference,faas-workloads/speech-inference-tflite,139689554471872,rockpi_30,True
start,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139689554726816,,
finish,resnet50-preprocessing,faas-workloads/resnet-preprocessing,139689554726816,rockpi_30,True
start,resnet50-training,faas-workloads/resnet-training-gpu,139689554727776,,
finish,resnet50-training,faas-workloads/resnet-training-gpu,139689554727776,nano_3,True
start,python-pi,faas-workloads/python-pi,139689554728736,,
finish,python-pi,faas-workloads/python-pi,139689554728736,rockpi_8,True
start,fio,faas-workloads/fio,139689554729696,,
finish,fio,faas-workloads/fio,139689554729696,rpi3_3,True
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,139689552574832,,
queue,resnet50-training,faas-workloads/resnet-training-gpu,139689552848608,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,139689552574832,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,139689552574832,nx_3,True
queue,python-pi,faas-workloads/python-pi,139689552848848,,
queue,fio,faas-workloads/fio,139689552849952,,
start,resnet50-training,faas-workloads/resnet-training-gpu,139689552848608,,
finish,resnet50-training,faas-workloads/resnet-training-gpu,139689552848608,nano_17,True
start,python-pi,faas-workloads/python-pi,139689552848848,,
finish,python-pi,faas-workloads/python-pi,139689552848848,rockpi_8,True
start,fio,faas-workloads/fio,139689552849952,,
finish,fio,faas-workloads/fio,139689552849952,rpi3_3,True
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,139689553990400,,
queue,speech-inference,faas-workloads/speech-inference-tflite,139689550483120,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,139689553990400,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,139689553990400,nano_15,True
queue,resnet50-training,faas-workloads/resnet-training-gpu,139689550483648,,
queue,python-pi,faas-workloads/python-pi,139689550484992,,
queue,fio,faas-workloads/fio,139689550485760,,
start,speech-inference,faas-workloads/speech-inference-tflite,139689550483120,,
finish,speech-inference,faas-workloads/speech-inference-tflite,139689550483120,nx_10,True
start,resnet50-training,faas-workloads/resnet-training-gpu,139689550483648,,
finish,resnet50-training,faas-workloads/resnet-training-gpu,139689550483648,nano_26,True
start,python-pi,faas-workloads/python-pi,139689550484992,,
finish,python-pi,faas-workloads/python-pi,139689550484992,coral_1,True
start,fio,faas-workloads/fio,139689550485760,,
finish,fio,faas-workloads/fio,139689550485760,rpi3_4,True
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,139689548029120,,
queue,speech-inference,faas-workloads/speech-inference-tflite,139689548205168,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,139689548029120,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,139689548029120,nx_13,True
queue,resnet50-training,faas-workloads/resnet-training-gpu,139689548205696,,
queue,python-pi,faas-workloads/python-pi,139689548207040,,
queue,fio,faas-workloads/fio,139689548207808,,
start,speech-inference,faas-workloads/speech-inference-tflite,139689548205168,,
finish,speech-inference,faas-workloads/speech-inference-tflite,139689548205168,coral_3,True
start,resnet50-training,faas-workloads/resnet-training-gpu,139689548205696,,
finish,resnet50-training,faas-workloads/resnet-training-gpu,139689548205696,nano_18,True
start,python-pi,faas-workloads/python-pi,139689548207040,,
finish,python-pi,faas-workloads/python-pi,139689548207040,rpi3_5,True
start,fio,faas-workloads/fio,139689548207808,,
finish,fio,faas-workloads/fio,139689548207808,rpi3_4,True
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,139689551638064,,
queue,speech-inference,faas-workloads/speech-inference-tflite,139689545755776,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,139689551638064,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,139689551638064,nano_19,True
queue,resnet50-training,faas-workloads/resnet-training-gpu,139689545756304,,
queue,python-pi,faas-workloads/python-pi,139689545757648,,
queue,fio,faas-workloads/fio,139689545758416,,
start,speech-inference,faas-workloads/speech-inference-tflite,139689545755776,,
finish,speech-inference,faas-workloads/speech-inference-tflite,139689545755776,rockpi_13,True
start,resnet50-training,faas-workloads/resnet-training-gpu,139689545756304,,
finish,resnet50-training,faas-workloads/resnet-training-gpu,139689545756304,nx_4,True
start,python-pi,faas-workloads/python-pi,139689545757648,,
finish,python-pi,faas-workloads/python-pi,139689545757648,rockpi_13,True
start,fio,faas-workloads/fio,139689545758416,,
finish,fio,faas-workloads/fio,139689545758416,rpi3_21,True
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,139689543591168,,
queue,speech-inference,faas-workloads/speech-inference-tflite,139689543750832,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,139689543591168,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,139689543591168,nano_9,True
queue,resnet50-training,faas-workloads/resnet-training-gpu,139689543751360,,
queue,python-pi,faas-workloads/python-pi,139689543752704,,
queue,fio,faas-workloads/fio,139689543753472,,
start,speech-inference,faas-workloads/speech-inference-tflite,139689543750832,,
finish,speech-inference,faas-workloads/speech-inference-tflite,139689543750832,nx_3,True
start,resnet50-training,faas-workloads/resnet-training-gpu,139689543751360,,
finish,resnet50-training,faas-workloads/resnet-training-gpu,139689543751360,nano_12,True
start,python-pi,faas-workloads/python-pi,139689543752704,,
finish,python-pi,faas-workloads/python-pi,139689543752704,rockpi_12,True
start,fio,faas-workloads/fio,139689543753472,,
finish,fio,faas-workloads/fio,139689543753472,rpi3_21,True
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,139689541583728,,
queue,speech-inference,faas-workloads/speech-inference-tflite,139689541595728,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,139689541583728,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,139689541583728,nano_21,True
queue,resnet50-training,faas-workloads/resnet-training-gpu,139689541596880,,
queue,python-pi,faas-workloads/python-pi,139689541597744,,
queue,fio,faas-workloads/fio,139689541598512,,
start,speech-inference,faas-workloads/speech-inference-tflite,139689541595728,,
finish,speech-inference,faas-workloads/speech-inference-tflite,139689541595728,rockpi_12,True
start,resnet50-training,faas-workloads/resnet-training-gpu,139689541596880,,
finish,resnet50-training,faas-workloads/resnet-training-gpu,139689541596880,nx_7,True
start,python-pi,faas-workloads/python-pi,139689541597744,,
finish,python-pi,faas-workloads/python-pi,139689541597744,rockpi_5,True
start,fio,faas-workloads/fio,139689541598512,,
finish,fio,faas-workloads/fio,139689541598512,rpi3_22,True
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,139689539449088,,
queue,speech-inference,faas-workloads/speech-inference-tflite,139689539608800,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,139689539449088,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,139689539449088,nano_20,True
queue,resnet50-training,faas-workloads/resnet-training-gpu,139689539609328,,
queue,python-pi,faas-workloads/python-pi,139689539610672,,
queue,fio,faas-workloads/fio,139689539611440,,
start,speech-inference,faas-workloads/speech-inference-tflite,139689539608800,,
finish,speech-inference,faas-workloads/speech-inference-tflite,139689539608800,rockpi_5,True
start,resnet50-training,faas-workloads/resnet-training-gpu,139689539609328,,
finish,resnet50-training,faas-workloads/resnet-training-gpu,139689539609328,nx_11,True
start,python-pi,faas-workloads/python-pi,139689539610672,,
finish,python-pi,faas-workloads/python-pi,139689539610672,rockpi_21,True
start,fio,faas-workloads/fio,139689539611440,,
finish,fio,faas-workloads/fio,139689539611440,rpi3_22,True
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,139689537507376,,
queue,speech-inference,faas-workloads/speech-inference-tflite,139689537667424,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,139689537507376,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,139689537507376,nano_22,True
queue,resnet50-training,faas-workloads/resnet-training-gpu,139689537668672,,
queue,python-pi,faas-workloads/python-pi,139689537668240,,
queue,fio,faas-workloads/fio,139689537669824,,
start,speech-inference,faas-workloads/speech-inference-tflite,139689537667424,,
finish,speech-inference,faas-workloads/speech-inference-tflite,139689537667424,rockpi_21,True
start,resnet50-training,faas-workloads/resnet-training-gpu,139689537668672,,
finish,resnet50-training,faas-workloads/resnet-training-gpu,139689537668672,nano_10,True
start,python-pi,faas-workloads/python-pi,139689537668240,,
finish,python-pi,faas-workloads/python-pi,139689537668240,rockpi_19,True
start,fio,faas-workloads/fio,139689537669824,,
finish,fio,faas-workloads/fio,139689537669824,rpi3_23,True
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,139689536596304,,
queue,speech-inference,faas-workloads/speech-inference-tflite,139689535597408,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,139689536596304,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,139689536596304,nano_11,True
queue,resnet50-training,faas-workloads/resnet-training-gpu,139689535597936,,
queue,python-pi,faas-workloads/python-pi,139689535599280,,
queue,fio,faas-workloads/fio,139689535600048,,
start,speech-inference,faas-workloads/speech-inference-tflite,139689535597408,,
finish,speech-inference,faas-workloads/speech-inference-tflite,139689535597408,rockpi_19,True
start,resnet50-training,faas-workloads/resnet-training-gpu,139689535597936,,
finish,resnet50-training,faas-workloads/resnet-training-gpu,139689535597936,nano_28,True
start,python-pi,faas-workloads/python-pi,139689535599280,,
finish,python-pi,faas-workloads/python-pi,139689535599280,nx_13,True
start,fio,faas-workloads/fio,139689535600048,,
finish,fio,faas-workloads/fio,139689535600048,rpi3_23,True
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,139689533500592,,
queue,speech-inference,faas-workloads/speech-inference-tflite,139689533856864,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,139689533500592,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,139689533500592,nano_0,True
queue,resnet50-training,faas-workloads/resnet-training-gpu,139689533857392,,
queue,python-pi,faas-workloads/python-pi,139689533858736,,
queue,fio,faas-workloads/fio,139689533859504,,
start,speech-inference,faas-workloads/speech-inference-tflite,139689533856864,,
finish,speech-inference,faas-workloads/speech-inference-tflite,139689533856864,rockpi_16,True
start,resnet50-training,faas-workloads/resnet-training-gpu,139689533857392,,
finish,resnet50-training,faas-workloads/resnet-training-gpu,139689533857392,nano_1,True
start,python-pi,faas-workloads/python-pi,139689533858736,,
finish,python-pi,faas-workloads/python-pi,139689533858736,rockpi_16,True
start,fio,faas-workloads/fio,139689533859504,,
finish,fio,faas-workloads/fio,139689533859504,rpi3_27,True
