value,name,image,function_id,node
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140268877295104,nx_14
deploy,speech-inference,faas-workloads/speech-inference-tflite,140268877296544,rockpi_59
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140268877297456,rockpi_59
deploy,resnet50-training,faas-workloads/resnet-training-gpu,140268877298320,nx_22
deploy,python-pi,faas-workloads/python-pi,140268877299472,rockpi_13
deploy,fio,faas-workloads/fio,140268877333120,rpi3_48
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140268877295104,nano_24
deploy,resnet50-training,faas-workloads/resnet-training-gpu,140268877298320,nano_38
deploy,python-pi,faas-workloads/python-pi,140268877299472,rockpi_13
deploy,fio,faas-workloads/fio,140268877333120,rpi3_48
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140268877295104,nx_6
deploy,speech-inference,faas-workloads/speech-inference-tflite,140268877296544,coral_11
deploy,resnet50-training,faas-workloads/resnet-training-gpu,140268877298320,nano_14
deploy,python-pi,faas-workloads/python-pi,140268877299472,rpi3_49
deploy,fio,faas-workloads/fio,140268877333120,rpi3_50
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140268877295104,nx_9
deploy,speech-inference,faas-workloads/speech-inference-tflite,140268877296544,rockpi_66
deploy,resnet50-training,faas-workloads/resnet-training-gpu,140268877298320,nx_29
deploy,python-pi,faas-workloads/python-pi,140268877299472,rockpi_66
deploy,fio,faas-workloads/fio,140268877333120,rpi3_50
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140268877295104,nano_13
deploy,speech-inference,faas-workloads/speech-inference-tflite,140268877296544,rockpi_9
deploy,resnet50-training,faas-workloads/resnet-training-gpu,140268877298320,nx_0
deploy,python-pi,faas-workloads/python-pi,140268877299472,rockpi_9
deploy,fio,faas-workloads/fio,140268877333120,rpi3_30
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140268877295104,nx_4
deploy,speech-inference,faas-workloads/speech-inference-tflite,140268877296544,rockpi_15
deploy,resnet50-training,faas-workloads/resnet-training-gpu,140268877298320,nx_12
deploy,python-pi,faas-workloads/python-pi,140268877299472,rockpi_15
deploy,fio,faas-workloads/fio,140268877333120,rpi3_30
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140268877295104,nx_17
deploy,speech-inference,faas-workloads/speech-inference-tflite,140268877296544,rockpi_75
deploy,resnet50-training,faas-workloads/resnet-training-gpu,140268877298320,nano_30
deploy,python-pi,faas-workloads/python-pi,140268877299472,rockpi_75
deploy,fio,faas-workloads/fio,140268877333120,rpi3_31
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140268877295104,nx_13
deploy,speech-inference,faas-workloads/speech-inference-tflite,140268877296544,nx_14
deploy,resnet50-training,faas-workloads/resnet-training-gpu,140268877298320,nx_18
deploy,python-pi,faas-workloads/python-pi,140268877299472,nx_22
deploy,fio,faas-workloads/fio,140268877333120,rpi3_31
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140268877295104,nx_25
deploy,speech-inference,faas-workloads/speech-inference-tflite,140268877296544,rockpi_17
deploy,resnet50-training,faas-workloads/resnet-training-gpu,140268877298320,nano_18
deploy,python-pi,faas-workloads/python-pi,140268877299472,rockpi_17
deploy,fio,faas-workloads/fio,140268877333120,rpi3_32
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140268877295104,nano_32
deploy,speech-inference,faas-workloads/speech-inference-tflite,140268877296544,rockpi_12
deploy,resnet50-training,faas-workloads/resnet-training-gpu,140268877298320,nx_7
deploy,python-pi,faas-workloads/python-pi,140268877299472,rockpi_12
deploy,fio,faas-workloads/fio,140268877333120,rpi3_32
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140268877295104,nx_8
deploy,speech-inference,faas-workloads/speech-inference-tflite,140268877296544,nx_6
deploy,resnet50-training,faas-workloads/resnet-training-gpu,140268877298320,nx_26
deploy,python-pi,faas-workloads/python-pi,140268877299472,rockpi_10
deploy,fio,faas-workloads/fio,140268877333120,rpi3_12
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140268877295104,nano_27
deploy,speech-inference,faas-workloads/speech-inference-tflite,140268877296544,rockpi_10
deploy,resnet50-training,faas-workloads/resnet-training-gpu,140268877298320,nx_16
deploy,python-pi,faas-workloads/python-pi,140268877299472,rockpi_0
deploy,fio,faas-workloads/fio,140268877333120,rpi3_12
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140268877295104,nano_0
deploy,speech-inference,faas-workloads/speech-inference-tflite,140268877296544,rockpi_0
deploy,resnet50-training,faas-workloads/resnet-training-gpu,140268877298320,nx_1
deploy,python-pi,faas-workloads/python-pi,140268877299472,rockpi_44
deploy,fio,faas-workloads/fio,140268877333120,rpi3_13
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140268877295104,nx_2
deploy,speech-inference,faas-workloads/speech-inference-tflite,140268877296544,rockpi_44
deploy,resnet50-training,faas-workloads/resnet-training-gpu,140268877298320,nx_15
deploy,python-pi,faas-workloads/python-pi,140268877299472,nx_9
deploy,fio,faas-workloads/fio,140268877333120,rpi3_13
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140268877295104,nano_29
deploy,speech-inference,faas-workloads/speech-inference-tflite,140268877296544,rockpi_60
deploy,resnet50-training,faas-workloads/resnet-training-gpu,140268877298320,nx_10
deploy,python-pi,faas-workloads/python-pi,140268877299472,rockpi_60
deploy,fio,faas-workloads/fio,140268877333120,rpi3_14
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140268877295104,nano_34
deploy,speech-inference,faas-workloads/speech-inference-tflite,140268877296544,nx_29
deploy,resnet50-training,faas-workloads/resnet-training-gpu,140268877298320,nx_3
deploy,python-pi,faas-workloads/python-pi,140268877299472,rockpi_64
deploy,fio,faas-workloads/fio,140268877333120,rpi3_14
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140268877295104,nano_42
deploy,speech-inference,faas-workloads/speech-inference-tflite,140268877296544,rockpi_64
deploy,resnet50-training,faas-workloads/resnet-training-gpu,140268877298320,nano_23
deploy,python-pi,faas-workloads/python-pi,140268877299472,rockpi_11
deploy,fio,faas-workloads/fio,140268877333120,rpi3_6
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140268877295104,nano_31
deploy,speech-inference,faas-workloads/speech-inference-tflite,140268877296544,rockpi_11
