deployment_name,timestamp,avg_response_time,avg_execution_time,avg_wait_time,wait_percentage,high_wait_count,sample_count
resnet50-inference,5,1149.9178509568749,380.1565600703516,769.7612908865232,66.94054625258543,20,24
resnet50-inference,5,1149.9178509568749,380.1565600703516,769.7612908865232,66.94054625258543,20,24
python-pi,5,1344.1621470559548,914.566203908963,429.5959431469919,31.96012803127305,4,8
python-pi,5,1344.1621470559548,914.566203908963,429.5959431469919,31.96012803127305,4,8
resnet50-inference,40,14615.008189000308,522.9186270903934,14092.089561909914,96.42204355736209,238,242
resnet50-inference,40,14615.008189000308,522.9186270903934,14092.089561909914,96.42204355736209,238,242
speech-inference,40,13335.032175832976,3808.728852304711,9526.303323528264,71.43817276116322,5,5
speech-inference,40,13335.032175832976,3808.728852304711,9526.303323528264,71.43817276116322,5,5
python-pi,40,16113.257580506379,1033.6353009466502,15079.622279559726,93.58518725476634,109,113
python-pi,40,16113.257580506379,1033.6353009466502,15079.622279559726,93.58518725476634,109,113
resnet50-inference,75,20291.35140429292,582.4418707617956,19708.90953353112,97.12960532220355,379,418
resnet50-inference,75,20291.35140429292,582.4418707617956,19708.90953353112,97.12960532220355,379,418
speech-inference,75,24285.80510909972,3493.0370599389544,20792.76804916077,85.61696001327897,24,25
speech-inference,75,24285.80510909972,3493.0370599389544,20792.76804916077,85.61696001327897,24,25
python-pi,75,27859.231575576112,987.4853307223597,26871.74624485375,96.45544663339503,232,236
python-pi,75,27859.231575576112,987.4853307223597,26871.74624485375,96.45544663339503,232,236
resnet50-inference,110,20176.138123424807,609.4642657139071,19566.673857710903,96.9792818527233,378,527
resnet50-inference,110,20176.138123424807,609.4642657139071,19566.673857710903,96.9792818527233,378,527
speech-inference,110,33661.23432349308,3543.0012942714534,30118.23302922163,89.47453542486795,29,30
speech-inference,110,33661.23432349308,3543.0012942714534,30118.23302922163,89.47453542486795,29,30
python-pi,110,36721.070799144145,1002.6322789792293,35718.43852016492,97.26959955916483,342,346
python-pi,110,36721.070799144145,1002.6322789792293,35718.43852016492,97.26959955916483,342,346
resnet50-inference,145,23770.391431392658,656.3902332334467,23114.00119815921,97.23862253119408,223,360
resnet50-inference,145,23770.391431392658,656.3902332334467,23114.00119815921,97.23862253119408,223,360
speech-inference,145,34295.17280476763,3698.919822785516,30596.252981982114,89.21445929477485,18,30
speech-inference,145,34295.17280476763,3698.919822785516,30596.252981982114,89.21445929477485,18,30
python-pi,145,44416.78742724993,1004.4186445715048,43412.368782678415,97.7386508508373,313,399
python-pi,145,44416.78742724993,1004.4186445715048,43412.368782678415,97.7386508508373,313,399
resnet50-inference,180,25932.286715664402,723.0462142462326,25209.240501418168,97.21179153163736,76,136
resnet50-inference,180,25932.286715664402,723.0462142462326,25209.240501418168,97.21179153163736,76,136
speech-inference,180,22048.15259859742,3700.8068896998343,18347.345708897585,83.21488898831706,3,9
speech-inference,180,22048.15259859742,3700.8068896998343,18347.345708897585,83.21488898831706,3,9
python-pi,180,64015.0245721109,1035.537743679446,62979.486828431465,98.3823520328217,252,321
python-pi,180,64015.0245721109,1035.537743679446,62979.486828431465,98.3823520328217,252,321
resnet50-inference,215,49375.729456468536,716.2865130525535,48659.44294341598,98.54931457026056,22,30
resnet50-inference,215,49375.729456468536,716.2865130525535,48659.44294341598,98.54931457026056,22,30
speech-inference,215,51526.34433272412,3418.535073989981,48107.80925873414,93.36546165216909,2,3
speech-inference,215,51526.34433272412,3418.535073989981,48107.80925873414,93.36546165216909,2,3
python-pi,215,105508.32281483871,1068.0873667859796,104440.23544805273,98.98767477456691,185,193
python-pi,215,105508.32281483871,1068.0873667859796,104440.23544805273,98.98767477456691,185,193
speech-inference,250,165774.2963090203,3810.6017140960944,161963.69459492422,97.70133138916015,2,2
speech-inference,250,165774.2963090203,3810.6017140960944,161963.69459492422,97.70133138916015,2,2
python-pi,250,122909.40458494921,1112.588909113849,121796.81567583536,99.09478944034353,114,136
python-pi,250,122909.40458494921,1112.588909113849,121796.81567583536,99.09478944034353,114,136
speech-inference,285,70665.35997439286,3638.9675581108745,67026.392416282,94.85042238597593,5,13
speech-inference,285,70665.35997439286,3638.9675581108745,67026.392416282,94.85042238597593,5,13
python-pi,285,64346.953109940274,1051.4833807274117,63295.469729212855,98.36591582055036,67,218
python-pi,285,64346.953109940274,1051.4833807274117,63295.469729212855,98.36591582055036,67,218
speech-inference,320,26216.21313031729,3496.78636193094,22719.426768386344,86.66174117310959,4,25
speech-inference,320,26216.21313031729,3496.78636193094,22719.426768386344,86.66174117310959,4,25
python-pi,320,31273.55795811936,1045.7638538883857,30227.794104230976,96.65607649986983,64,392
python-pi,320,31273.55795811936,1045.7638538883857,30227.794104230976,96.65607649986983,64,392
speech-inference,355,19904.900774064063,3492.035263693778,16412.865510370284,82.45640456422734,3,35
speech-inference,355,19904.900774064063,3492.035263693778,16412.865510370284,82.45640456422734,3,35
python-pi,355,25719.927003160665,1069.4419650618145,24650.485038098854,95.84197122748292,50,518
python-pi,355,25719.927003160665,1069.4419650618145,24650.485038098854,95.84197122748292,50,518
