bytes,duration,source,sink,action_type
20000000,0.16795203142619758,registry,rpi3_21,docker_pull
20000000,0.16767054684461033,registry,rpi3_22,docker_pull
62000000,0.5145320332008436,registry,rockpi_16,docker_pull
62000000,0.514264377579681,registry,rockpi_23,docker_pull
40000000,0.659222006234448,registry,rockpi_30,docker_pull
40000000,0.6589250483334417,registry,rockpi_25,docker_pull
100000000,0.8262211631665509,registry,nano_15,docker_pull
100000000,0.8278291749518977,registry,nx_0,docker_pull
100000000,0.8262558798814615,registry,nano_17,docker_pull
100000000,0.8276198459496531,registry,nano_0,docker_pull
100000000,0.8264278197264643,registry,nx_12,docker_pull
100000000,0.8280213985549436,registry,nano_1,docker_pull
48000000,0.8993390294425092,nuc_2,rockpi_30,data_download
191000000,2.1819491375419036,registry,rockpi_25,docker_pull
48000000,1.8588695455573905,nuc_2,rockpi_30,data_download
48000000,2.1725678038422385,nuc_2,rockpi_25,data_download
103000000,3.1023038572964285,nuc_2,nano_15,data_download
103000000,3.487572707594804,nuc_2,nx_0,data_download
103000000,3.527539134944899,nuc_2,nano_0,data_download
103000000,3.57079749136338,nuc_2,nano_17,data_download
20000000,0.16787646075726048,registry,rpi3_3,docker_pull
40000000,0.3334956614190814,registry,rockpi_23,docker_pull
40000000,0.33312565423389184,registry,nx_0,docker_pull
40000000,0.3335349727668886,registry,coral_0,docker_pull
55000000,0.45660548142427526,registry,rpi3_27,docker_pull
55000000,0.45712899989632394,registry,rpi3_28,docker_pull
55000000,0.45652443656151487,registry,rpi3_29,docker_pull
100000000,0.8262538816902891,registry,nx_10,docker_pull
100000000,0.8279748858739344,registry,nano_2,docker_pull
100000000,0.8263196352930384,registry,nano_12,docker_pull
100000000,0.8263292162549378,registry,nx_13,docker_pull
100000000,0.8261000358191053,registry,nx_14,docker_pull
100000000,0.8263380110787253,registry,nx_4,docker_pull
137000000,1.1330390792930896,registry,rpi3_23,docker_pull
20000000,0.16823061876681678,registry,rpi3_4,docker_pull
20000000,0.16827612136549064,registry,rpi3_5,docker_pull
58000000,5.690834101626364,nuc_2,nano_1,data_download
40000000,0.34846087492317857,registry,rockpi_4,docker_pull
62000000,0.5144587962100164,registry,coral_1,docker_pull
62000000,0.5142849461422987,registry,coral_2,docker_pull
62000000,0.5142349797207917,registry,coral_3,docker_pull
40000000,0.6612983430482959,registry,rockpi_11,docker_pull
100000000,0.8261723245524148,registry,nx_7,docker_pull
100000000,0.8262903366900609,registry,nano_7,docker_pull
100000000,0.8264029062467397,registry,nano_5,docker_pull
100000000,0.8279934671246849,registry,nano_3,docker_pull
100000000,0.8276245298604152,registry,nano_4,docker_pull
100000000,0.8263811518316082,registry,nano_8,docker_pull
58000000,6.418343901362461,nuc_2,nano_1,data_download
191000000,1.951433461193412,registry,rockpi_11,docker_pull
58000000,7.718701227758179,nuc_2,nx_12,data_download
58000000,8.430606620738338,nuc_2,nx_12,data_download
58000000,8.561453027044045,nuc_2,nano_1,data_download
48000000,8.504831425087929,nuc_2,coral_0,data_download
48000000,8.61332608455055,nuc_2,nx_0,data_download
58000000,9.125962614314467,nuc_2,nano_1,data_download
