value,name,function_id
deploy,resnet50-inference,140659072137104
deploy,resnet50-inference-downtown,140659072138160
deploy,resnet50-inference-suburb,140659072139424
deploy,resnet50-inference-industrial,140659072140624
deploy,speech-inference,140659072141824
deploy,speech-inference-downtown,140659072143024
deploy,speech-inference-suburb,140659072144224
deploy,resnet50-preprocessing,140659072145424
deploy,resnet50-training,140659072146240
deploy,resnet50-training-downtown,140659072147440
deploy,python-pi,140659072148640
deploy,python-pi-downtown,140659072149456
deploy,python-pi-suburb,140659072150272
deploy,fio,140659072151088
deploy,fio-downtown,140659072151904
deploy,fio-suburb,140659072152720
