value,function_name,node_name,replica_id
deploy,resnet50-inference,nx_0,140659071985856
deploy,resnet50-inference-downtown,nano_15,140659071986720
deploy,resnet50-inference-suburb,nano_17,140659072300992
deploy,resnet50-inference-industrial,nano_0,140659072301952
deploy,speech-inference,rockpi_30,140659072302912
deploy,speech-inference-downtown,rockpi_30,140659072385856
startup,speech-inference-downtown,rockpi_30,140659072385856
setup,speech-inference-downtown,rockpi_30,140659072385856
deploy,speech-inference-suburb,rockpi_25,140659072386816
deploy,resnet50-preprocessing,rockpi_25,140659072387776
deploy,resnet50-training,nx_12,140659072388736
deploy,resnet50-training-downtown,nano_1,140659072389696
deploy,python-pi,rockpi_16,140659072390656
deploy,python-pi-downtown,rockpi_16,140659072391616
startup,python-pi-downtown,rockpi_16,140659072391616
setup,python-pi-downtown,rockpi_16,140659072391616
finish,python-pi-downtown,rockpi_16,140659072391616
deploy,python-pi-suburb,rockpi_23,140659072392576
deploy,fio,rpi3_21,140659072393536
deploy,fio-downtown,rpi3_21,140659072394496
startup,fio-downtown,rpi3_21,140659072394496
setup,fio-downtown,rpi3_21,140659072394496
finish,fio-downtown,rpi3_21,140659072394496
deploy,fio-suburb,rpi3_22,140659072395456
startup,fio,rpi3_21,140659072393536
setup,fio,rpi3_21,140659072393536
finish,fio,rpi3_21,140659072393536
startup,fio-suburb,rpi3_22,140659072395456
setup,fio-suburb,rpi3_22,140659072395456
finish,fio-suburb,rpi3_22,140659072395456
startup,python-pi,rockpi_16,140659072390656
setup,python-pi,rockpi_16,140659072390656
finish,python-pi,rockpi_16,140659072390656
startup,python-pi-suburb,rockpi_23,140659072392576
setup,python-pi-suburb,rockpi_23,140659072392576
finish,python-pi-suburb,rockpi_23,140659072392576
startup,speech-inference,rockpi_30,140659072302912
setup,speech-inference,rockpi_30,140659072302912
startup,speech-inference-suburb,rockpi_25,140659072386816
setup,speech-inference-suburb,rockpi_25,140659072386816
startup,resnet50-inference-downtown,nano_15,140659071986720
setup,resnet50-inference-downtown,nano_15,140659071986720
startup,resnet50-inference,nx_0,140659071985856
setup,resnet50-inference,nx_0,140659071985856
startup,resnet50-inference-suburb,nano_17,140659072300992
setup,resnet50-inference-suburb,nano_17,140659072300992
startup,resnet50-inference-industrial,nano_0,140659072301952
setup,resnet50-inference-industrial,nano_0,140659072301952
startup,resnet50-training,nx_12,140659072388736
setup,resnet50-training,nx_12,140659072388736
finish,resnet50-training,nx_12,140659072388736
startup,resnet50-training-downtown,nano_1,140659072389696
setup,resnet50-training-downtown,nano_1,140659072389696
finish,resnet50-training-downtown,nano_1,140659072389696
finish,speech-inference-downtown,rockpi_30,140659072385856
startup,resnet50-preprocessing,rockpi_25,140659072387776
setup,resnet50-preprocessing,rockpi_25,140659072387776
finish,resnet50-preprocessing,rockpi_25,140659072387776
finish,speech-inference,rockpi_30,140659072302912
finish,speech-inference-suburb,rockpi_25,140659072386816
finish,resnet50-inference-downtown,nano_15,140659071986720
finish,resnet50-inference,nx_0,140659071985856
finish,resnet50-inference-industrial,nano_0,140659072301952
finish,resnet50-inference-suburb,nano_17,140659072300992
deploy,resnet50-inference,nano_2,140659069843488
deploy,resnet50-inference-downtown,nx_10,140659069970672
deploy,resnet50-inference-suburb,nano_12,140659069971632
deploy,resnet50-inference-industrial,nx_13,140659069972352
deploy,speech-inference,rockpi_23,140659069973120
deploy,speech-inference-downtown,nx_0,140659069973888
deploy,speech-inference-suburb,coral_0,140659069974656
deploy,resnet50-preprocessing,rpi3_23,140659069975424
deploy,resnet50-training,nx_14,140659069976192
deploy,resnet50-training-downtown,nx_4,140659070124480
deploy,python-pi,rpi3_27,140659070125248
deploy,python-pi-downtown,rpi3_28,140659070126016
deploy,python-pi-suburb,rpi3_29,140659070126784
deploy,fio,rpi3_22,140659070127552
startup,fio,rpi3_22,140659070127552
setup,fio,rpi3_22,140659070127552
finish,fio,rpi3_22,140659070127552
deploy,fio-downtown,rpi3_3,140659070128320
deploy,fio-suburb,rpi3_3,140659070129088
startup,fio-suburb,rpi3_3,140659070129088
setup,fio-suburb,rpi3_3,140659070129088
finish,fio-suburb,rpi3_3,140659070129088
startup,fio-downtown,rpi3_3,140659070128320
setup,fio-downtown,rpi3_3,140659070128320
finish,fio-downtown,rpi3_3,140659070128320
startup,speech-inference,rockpi_23,140659069973120
setup,speech-inference,rockpi_23,140659069973120
startup,speech-inference-downtown,nx_0,140659069973888
setup,speech-inference-downtown,nx_0,140659069973888
startup,speech-inference-suburb,coral_0,140659069974656
setup,speech-inference-suburb,coral_0,140659069974656
startup,python-pi,rpi3_27,140659070125248
setup,python-pi,rpi3_27,140659070125248
finish,python-pi,rpi3_27,140659070125248
startup,python-pi-downtown,rpi3_28,140659070126016
setup,python-pi-downtown,rpi3_28,140659070126016
finish,python-pi-downtown,rpi3_28,140659070126016
startup,python-pi-suburb,rpi3_29,140659070126784
setup,python-pi-suburb,rpi3_29,140659070126784
finish,python-pi-suburb,rpi3_29,140659070126784
startup,resnet50-inference-downtown,nx_10,140659069970672
setup,resnet50-inference-downtown,nx_10,140659069970672
startup,resnet50-inference,nano_2,140659069843488
setup,resnet50-inference,nano_2,140659069843488
startup,resnet50-inference-suburb,nano_12,140659069971632
setup,resnet50-inference-suburb,nano_12,140659069971632
startup,resnet50-inference-industrial,nx_13,140659069972352
setup,resnet50-inference-industrial,nx_13,140659069972352
startup,resnet50-training,nx_14,140659069976192
setup,resnet50-training,nx_14,140659069976192
finish,resnet50-training,nx_14,140659069976192
startup,resnet50-training-downtown,nx_4,140659070124480
setup,resnet50-training-downtown,nx_4,140659070124480
finish,resnet50-training-downtown,nx_4,140659070124480
startup,resnet50-preprocessing,rpi3_23,140659069975424
setup,resnet50-preprocessing,rpi3_23,140659069975424
finish,resnet50-preprocessing,rpi3_23,140659069975424
deploy,resnet50-inference,nx_7,140659069405984
deploy,resnet50-inference-downtown,nano_7,140659069418176
deploy,resnet50-inference-suburb,nano_5,140659069419136
