value,function_name,image,replica_id,node_name,successful
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,140659071985856,,
queue,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140659071986720,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,140659071985856,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,140659071985856,nx_0,True
queue,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140659072300992,,
queue,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140659072301952,,
queue,speech-inference,faas-workloads/speech-inference-tflite,140659072302912,,
queue,speech-inference-downtown,faas-workloads/speech-inference-tflite,140659072385856,,
queue,speech-inference-suburb,faas-workloads/speech-inference-tflite,140659072386816,,
queue,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140659072387776,,
queue,resnet50-training,faas-workloads/resnet-training-gpu,140659072388736,,
queue,resnet50-training-downtown,faas-workloads/resnet-training-gpu,140659072389696,,
queue,python-pi,faas-workloads/python-pi,140659072390656,,
queue,python-pi-downtown,faas-workloads/python-pi,140659072391616,,
queue,python-pi-suburb,faas-workloads/python-pi,140659072392576,,
queue,fio,faas-workloads/fio,140659072393536,,
queue,fio-downtown,faas-workloads/fio,140659072394496,,
queue,fio-suburb,faas-workloads/fio,140659072395456,,
start,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140659071986720,,
finish,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140659071986720,nano_15,True
start,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140659072300992,,
finish,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140659072300992,nano_17,True
start,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140659072301952,,
finish,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140659072301952,nano_0,True
start,speech-inference,faas-workloads/speech-inference-tflite,140659072302912,,
finish,speech-inference,faas-workloads/speech-inference-tflite,140659072302912,rockpi_30,True
start,speech-inference-downtown,faas-workloads/speech-inference-tflite,140659072385856,,
finish,speech-inference-downtown,faas-workloads/speech-inference-tflite,140659072385856,rockpi_30,True
start,speech-inference-suburb,faas-workloads/speech-inference-tflite,140659072386816,,
finish,speech-inference-suburb,faas-workloads/speech-inference-tflite,140659072386816,rockpi_25,True
start,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140659072387776,,
finish,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140659072387776,rockpi_25,True
start,resnet50-training,faas-workloads/resnet-training-gpu,140659072388736,,
finish,resnet50-training,faas-workloads/resnet-training-gpu,140659072388736,nx_12,True
start,resnet50-training-downtown,faas-workloads/resnet-training-gpu,140659072389696,,
finish,resnet50-training-downtown,faas-workloads/resnet-training-gpu,140659072389696,nano_1,True
start,python-pi,faas-workloads/python-pi,140659072390656,,
finish,python-pi,faas-workloads/python-pi,140659072390656,rockpi_16,True
start,python-pi-downtown,faas-workloads/python-pi,140659072391616,,
finish,python-pi-downtown,faas-workloads/python-pi,140659072391616,rockpi_16,True
start,python-pi-suburb,faas-workloads/python-pi,140659072392576,,
finish,python-pi-suburb,faas-workloads/python-pi,140659072392576,rockpi_23,True
start,fio,faas-workloads/fio,140659072393536,,
finish,fio,faas-workloads/fio,140659072393536,rpi3_21,True
start,fio-downtown,faas-workloads/fio,140659072394496,,
finish,fio-downtown,faas-workloads/fio,140659072394496,rpi3_21,True
start,fio-suburb,faas-workloads/fio,140659072395456,,
finish,fio-suburb,faas-workloads/fio,140659072395456,rpi3_22,True
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,140659069843488,,
queue,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140659069970672,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,140659069843488,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,140659069843488,nano_2,True
queue,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140659069971632,,
queue,resnet50-inference-industrial,faas-workloads/resnet-inference-gpu,140659069972352,,
queue,speech-inference,faas-workloads/speech-inference-tflite,140659069973120,,
queue,speech-inference-downtown,faas-workloads/speech-inference-tflite,140659069973888,,
queue,speech-inference-suburb,faas-workloads/speech-inference-tflite,140659069974656,,
queue,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140659069975424,,
queue,resnet50-training,faas-workloads/resnet-training-gpu,140659069976192,,
queue,resnet50-training-downtown,faas-workloads/resnet-training-gpu,140659070124480,,
queue,python-pi,faas-workloads/python-pi,140659070125248,,
queue,python-pi-downtown,faas-workloads/python-pi,140659070126016,,
queue,python-pi-suburb,faas-workloads/python-pi,140659070126784,,
queue,fio,faas-workloads/fio,140659070127552,,
queue,fio-downtown,faas-workloads/fio,140659070128320,,
queue,fio-suburb,faas-workloads/fio,140659070129088,,
start,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140659069970672,,
finish,resnet50-inference-downtown,faas-workloads/resnet-inference-gpu,140659069970672,nx_10,True
start,resnet50-inference-suburb,faas-workloads/resnet-inference-gpu,140659069971632,,
