deployment_name,timestamp,avg_response_time,avg_execution_time,avg_wait_time,wait_percentage,high_wait_count,sample_count
resnet50-inference,5,490.91239906229856,379.180820431519,111.73157863077952,22.75998301208122,8,20
python-pi,5,1273.9463168973057,918.0088544968239,355.93746240048176,27.93975363635156,4,8
python-pi,5,1273.9463168973057,918.0088544968239,355.93746240048176,27.93975363635156,4,8
resnet50-inference,10,490.91239906229856,379.180820431519,111.73157863077952,22.75998301208122,8,20
resnet50-inference,10,490.91239906229856,379.180820431519,111.73157863077952,22.75998301208122,8,20
python-pi,10,1273.9463168973057,918.0088544968239,355.93746240048176,27.93975363635156,4,8
python-pi,10,1273.9463168973057,918.0088544968239,355.93746240048176,27.93975363635156,4,8
resnet50-inference,40,661.3647936396351,661.3647936396351,0.0,0.0,0,140
resnet50-inference,40,661.3647936396351,661.3647936396351,0.0,0.0,0,140
speech-inference,40,20473.325175303504,3798.5850452286872,16674.740130074817,81.44617441132215,6,6
speech-inference,40,20473.325175303504,3798.5850452286872,16674.740130074817,81.44617441132215,6,6
python-pi,40,4844.0467245679765,971.4858071616693,3872.560917406308,79.94474738993539,67,167
python-pi,40,4844.0467245679765,971.4858071616693,3872.560917406308,79.94474738993539,67,167
resnet50-inference,45,647.4662987851082,647.4662987851082,0.0,0.0,0,68
resnet50-inference,45,647.4662987851082,647.4662987851082,0.0,0.0,0,68
python-pi,45,4495.292977735982,1002.4238962489703,3492.8690814870124,77.70058812153702,24,71
python-pi,45,4495.292977735982,1002.4238962489703,3492.8690814870124,77.70058812153702,24,71
resnet50-inference,75,615.6173359162684,615.6173359162684,0.0,0.0,0,125
resnet50-inference,75,615.6173359162684,615.6173359162684,0.0,0.0,0,125
speech-inference,75,46652.03852131727,3781.46092293607,42870.57759838118,91.8943286450212,6,6
speech-inference,75,46652.03852131727,3781.46092293607,42870.57759838118,91.8943286450212,6,6
resnet50-preprocessing,75,58425.70940299514,7496.885758135349,50928.82364485979,87.16851565049028,1,1
resnet50-preprocessing,75,58425.70940299514,7496.885758135349,50928.82364485979,87.16851565049028,1,1
python-pi,75,1111.9494938329942,1111.9494938329942,0.0,0.0,0,147
python-pi,75,1111.9494938329942,1111.9494938329942,0.0,0.0,0,147
resnet50-inference,80,597.2704603052273,597.2704603052273,0.0,0.0,0,51
resnet50-inference,80,597.2704603052273,597.2704603052273,0.0,0.0,0,51
speech-inference,80,48362.54958102402,3767.300362725237,44595.24921829878,92.21029413179778,1,1
speech-inference,80,48362.54958102402,3767.300362725237,44595.24921829878,92.21029413179778,1,1
python-pi,80,1100.8311411164896,1100.8311411164896,0.0,0.0,0,73
python-pi,80,1100.8311411164896,1100.8311411164896,0.0,0.0,0,73
resnet50-inference,110,588.4016763821899,588.4016763821899,0.0,0.0,0,143
resnet50-inference,110,588.4016763821899,588.4016763821899,0.0,0.0,0,143
speech-inference,110,56087.89813672896,4836.335091461939,51251.563045267016,91.37722173208897,7,7
speech-inference,110,56087.89813672896,4836.335091461939,51251.563045267016,91.37722173208897,7,7
resnet50-preprocessing,110,43682.6410365258,6517.754648181475,37164.88638834432,85.07930268517516,6,6
resnet50-preprocessing,110,43682.6410365258,6517.754648181475,37164.88638834432,85.07930268517516,6,6
python-pi,110,1106.2777687745386,1106.2777687745386,0.0,0.0,0,156
python-pi,110,1106.2777687745386,1106.2777687745386,0.0,0.0,0,156
resnet50-inference,115,581.9188439383023,581.9188439383023,0.0,0.0,0,72
