value,name,image,function_id,node
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140633029523920,nx_0
deploy,speech-inference,faas-workloads/speech-inference-tflite,140633029525360,rockpi_30
deploy,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140633029526336,rockpi_30
deploy,resnet50-training,faas-workloads/resnet-training-gpu,140633029527200,nano_15
deploy,python-pi,faas-workloads/python-pi,140633029528352,rockpi_25
deploy,fio,faas-workloads/fio,140633029529168,rpi3_21
deploy,python-pi,faas-workloads/python-pi,140633029528352,rockpi_25
deploy,fio,faas-workloads/fio,140633029529168,rpi3_21
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140633029523920,nano_17
deploy,python-pi,faas-workloads/python-pi,140633029528352,rockpi_16
deploy,fio,faas-workloads/fio,140633029529168,rpi3_22
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140633029523920,nano_0
deploy,resnet50-training,faas-workloads/resnet-training-gpu,140633029527200,nx_12
deploy,python-pi,faas-workloads/python-pi,140633029528352,rockpi_16
deploy,fio,faas-workloads/fio,140633029529168,rpi3_22
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140633029523920,nano_1
deploy,python-pi,faas-workloads/python-pi,140633029528352,rockpi_23
deploy,fio,faas-workloads/fio,140633029529168,rpi3_23
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140633029523920,nano_2
deploy,resnet50-training,faas-workloads/resnet-training-gpu,140633029527200,nx_10
deploy,python-pi,faas-workloads/python-pi,140633029528352,rockpi_23
deploy,fio,faas-workloads/fio,140633029529168,rpi3_23
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140633029523920,nano_12
deploy,resnet50-training,faas-workloads/resnet-training-gpu,140633029527200,nx_13
deploy,python-pi,faas-workloads/python-pi,140633029528352,nx_0
deploy,fio,faas-workloads/fio,140633029529168,rpi3_27
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140633029523920,nx_14
deploy,resnet50-training,faas-workloads/resnet-training-gpu,140633029527200,nx_4
deploy,python-pi,faas-workloads/python-pi,140633029528352,coral_0
deploy,fio,faas-workloads/fio,140633029529168,rpi3_27
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140633029523920,nx_7
deploy,speech-inference,faas-workloads/speech-inference-tflite,140633029525360,rpi3_28
deploy,python-pi,faas-workloads/python-pi,140633029528352,rpi3_29
deploy,fio,faas-workloads/fio,140633029529168,rpi3_3
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140633029523920,nano_7
deploy,python-pi,faas-workloads/python-pi,140633029528352,rockpi_4
deploy,fio,faas-workloads/fio,140633029529168,rpi3_3
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140633029523920,nano_5
deploy,python-pi,faas-workloads/python-pi,140633029528352,rockpi_4
deploy,fio,faas-workloads/fio,140633029529168,rpi3_4
deploy,resnet50-inference,faas-workloads/resnet-inference-gpu,140633029523920,nano_3
