value,function_name,node_name,replica_id
deploy,resnet50-inference,nx_0,140633029405008
deploy,speech-inference,rockpi_30,140633029405872
deploy,resnet50-preprocessing,rockpi_30,140633029660624
deploy,resnet50-training,nano_15,140633029661584
deploy,python-pi,rockpi_25,140633029662544
deploy,fio,rpi3_21,140633029663504
startup,fio,rpi3_21,140633029663504
setup,fio,rpi3_21,140633029663504
finish,fio,rpi3_21,140633029663504
startup,python-pi,rockpi_25,140633029662544
setup,python-pi,rockpi_25,140633029662544
finish,python-pi,rockpi_25,140633029662544
startup,speech-inference,rockpi_30,140633029405872
setup,speech-inference,rockpi_30,140633029405872
startup,resnet50-inference,nx_0,140633029405008
setup,resnet50-inference,nx_0,140633029405008
startup,resnet50-training,nano_15,140633029661584
setup,resnet50-training,nano_15,140633029661584
finish,resnet50-training,nano_15,140633029661584
finish,speech-inference,rockpi_30,140633029405872
finish,resnet50-inference,nx_0,140633029405008
startup,resnet50-preprocessing,rockpi_30,140633029660624
setup,resnet50-preprocessing,rockpi_30,140633029660624
finish,resnet50-preprocessing,rockpi_30,140633029660624
deploy,python-pi,rockpi_25,140633027328608
startup,python-pi,rockpi_25,140633027328608
setup,python-pi,rockpi_25,140633027328608
finish,python-pi,rockpi_25,140633027328608
deploy,fio,rpi3_21,140633027603872
startup,fio,rpi3_21,140633027603872
setup,fio,rpi3_21,140633027603872
finish,fio,rpi3_21,140633027603872
deploy,resnet50-inference,nano_17,140633029665616
deploy,python-pi,rockpi_16,140633024750800
deploy,fio,rpi3_22,140633024749648
startup,fio,rpi3_22,140633024749648
setup,fio,rpi3_22,140633024749648
finish,fio,rpi3_22,140633024749648
startup,python-pi,rockpi_16,140633024750800
setup,python-pi,rockpi_16,140633024750800
finish,python-pi,rockpi_16,140633024750800
startup,resnet50-inference,nano_17,140633029665616
setup,resnet50-inference,nano_17,140633029665616
finish,resnet50-inference,nano_17,140633029665616
deploy,resnet50-inference,nano_0,140633023943712
deploy,resnet50-training,nx_12,140633024103568
deploy,python-pi,rockpi_16,140633024104528
startup,python-pi,rockpi_16,140633024104528
setup,python-pi,rockpi_16,140633024104528
finish,python-pi,rockpi_16,140633024104528
deploy,fio,rpi3_22,140633024105296
startup,fio,rpi3_22,140633024105296
setup,fio,rpi3_22,140633024105296
finish,fio,rpi3_22,140633024105296
startup,resnet50-inference,nano_0,140633023943712
setup,resnet50-inference,nano_0,140633023943712
startup,resnet50-training,nx_12,140633024103568
setup,resnet50-training,nx_12,140633024103568
finish,resnet50-training,nx_12,140633024103568
finish,resnet50-inference,nano_0,140633023943712
deploy,resnet50-inference,nano_1,140633023772848
