t_wait,t_exec,t_start,memory,function_name,function_image,node,replica_id
0.0,0.37957997553209566,128.0037357226176,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_0,140446691391344
0.0,0.39429471436261565,128.00651428272963,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_0,140446691391344
0.0,0.3922224233679117,128.0099701239671,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_0,140446691391344
0.0,0.4160832814534672,128.00899693713117,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_0,140446691391344
0.0,0.5362200072417806,128.00216756670315,104857600,mobilenet-inference,faas-workloads/mobilenet-inference-tpu,coral_0,140446691277904
0.0,0.5446016464373997,128.00226630575244,104857600,mobilenet-inference,faas-workloads/mobilenet-inference-tpu,coral_0,140446691277904
0.0,0.5460145636413642,128.00220340345473,104857600,mobilenet-inference,faas-workloads/mobilenet-inference-tpu,coral_0,140446691277904
0.0,0.5643249620051733,128.00319939566853,104857600,mobilenet-inference,faas-workloads/mobilenet-inference-tpu,coral_0,140446691277904
0.0,0.7530359164252332,128.01126360202778,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_0,140446691391344
0.0,0.7622597667453022,128.0118794154827,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_0,140446691391344
0.0,0.7808987942573538,128.01246108822752,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_0,140446691391344
0.0,0.7781283871465803,128.01648297620014,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_0,140446691391344
0.0,1.0710264626449089,128.00742812405514,104857600,mobilenet-inference,faas-workloads/mobilenet-inference-tpu,coral_0,140446691277904
0.0,1.086720034157878,128.0079329575085,104857600,mobilenet-inference,faas-workloads/mobilenet-inference-tpu,coral_0,140446691277904
0.0,1.0890829689964505,128.00778488730654,104857600,mobilenet-inference,faas-workloads/mobilenet-inference-tpu,coral_0,140446691277904
0.0,1.0878971734212541,128.0120912963848,104857600,mobilenet-inference,faas-workloads/mobilenet-inference-tpu,coral_0,140446691277904
0.0,1.1258562107940975,128.0190367711688,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_0,140446691391344
0.0,1.1515140697541142,128.01850731375845,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_0,140446691391344
0.0,1.1668156779599599,128.0196998692856,419430400,resnet50-inference,faas-workloads/resnet-inference-gpu,nx_0,140446691391344
