value,function_name,image,replica_id,node_name,successful
queue,resnet50-inference,faas-workloads/resnet-inference-gpu,140446691391344,,
queue,resnet50-training,faas-workloads/resnet-training-gpu,140446691272784,,
start,resnet50-inference,faas-workloads/resnet-inference-gpu,140446691391344,,
finish,resnet50-inference,faas-workloads/resnet-inference-gpu,140446691391344,nx_0,True
queue,mobilenet-inference,faas-workloads/mobilenet-inference-tpu,140446691277904,,
queue,speech-inference,faas-workloads/speech-inference-tflite,140446690083504,,
queue,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140446690086848,,
start,resnet50-training,faas-workloads/resnet-training-gpu,140446691272784,,
finish,resnet50-training,faas-workloads/resnet-training-gpu,140446691272784,nano_0,True
start,mobilenet-inference,faas-workloads/mobilenet-inference-tpu,140446691277904,,
finish,mobilenet-inference,faas-workloads/mobilenet-inference-tpu,140446691277904,coral_0,True
start,speech-inference,faas-workloads/speech-inference-tflite,140446690083504,,
finish,speech-inference,faas-workloads/speech-inference-tflite,140446690083504,rpi4_2,True
start,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140446690086848,,
finish,resnet50-preprocessing,faas-workloads/resnet-preprocessing,140446690086848,rpi4_3,True
