value,name,type,data_type
4000000,link_nuc_3,node,data_download
4000000,shared_3,shared,data_download
4000000,up_shared_3,uplink,data_download
4000000,down_shared_6,downlink,data_download
4000000,shared_6,shared,data_download
4000000,link_coral_6,node,data_download
48000000,link_nuc_3,node,data_download
48000000,shared_3,shared,data_download
48000000,up_shared_3,uplink,data_download
48000000,down_shared_0,downlink,data_download
48000000,shared_0,shared,data_download
48000000,link_rockpi_2,node,data_download
103000000,link_nuc_3,node,data_download
103000000,shared_3,shared,data_download
103000000,up_shared_3,uplink,data_download
103000000,down_shared_0,downlink,data_download
103000000,shared_0,shared,data_download
103000000,link_nx_7,node,data_download
58000000,link_nuc_3,node,data_download
58000000,shared_3,shared,data_download
58000000,up_shared_3,uplink,data_download
58000000,down_shared_0,downlink,data_download
58000000,shared_0,shared,data_download
58000000,link_nano_11,node,data_download
58000000,link_nuc_3,node,data_download
58000000,shared_3,shared,data_download
58000000,up_shared_3,uplink,data_download
58000000,down_shared_0,downlink,data_download
58000000,shared_0,shared,data_download
58000000,link_nano_11,node,data_download
58000000,link_nuc_3,node,data_download
58000000,shared_3,shared,data_download
58000000,up_shared_3,uplink,data_download
58000000,down_shared_0,downlink,data_download
58000000,shared_0,shared,data_download
58000000,link_nano_11,node,data_download
58000000,link_nuc_3,node,data_download
58000000,shared_3,shared,data_download
58000000,up_shared_3,uplink,data_download
58000000,down_shared_0,downlink,data_download
58000000,shared_0,shared,data_download
58000000,link_nano_11,node,data_download
103000000,link_nano_11,node,data_upload
103000000,shared_0,shared,data_upload
103000000,up_shared_0,uplink,data_upload
103000000,down_shared_3,downlink,data_upload
103000000,shared_3,shared,data_upload
103000000,link_nuc_3,node,data_upload
58000000,link_nuc_3,node,data_download
58000000,shared_3,shared,data_download
58000000,up_shared_3,uplink,data_download
58000000,down_shared_0,downlink,data_download
58000000,shared_0,shared,data_download
58000000,link_nano_11,node,data_download
