value,function_name,node_name,replica_id
deploy,resnet50-inference,nx_7,139925561583872
deploy,resnet50-training,nano_11,139925561562192
deploy,mobilenet-inference,coral_6,139925561567312
deploy,speech-inference,rockpi_2,139925561591968
deploy,resnet50-preprocessing,rockpi_2,139925561595312
startup,mobilenet-inference,coral_6,139925561567312
setup,mobilenet-inference,coral_6,139925561567312
finish,mobilenet-inference,coral_6,139925561567312
startup,speech-inference,rockpi_2,139925561591968
setup,speech-inference,rockpi_2,139925561591968
finish,speech-inference,rockpi_2,139925561591968
startup,resnet50-inference,nx_7,139925561583872
setup,resnet50-inference,nx_7,139925561583872
finish,resnet50-inference,nx_7,139925561583872
startup,resnet50-training,nano_11,139925561562192
setup,resnet50-training,nano_11,139925561562192
finish,resnet50-training,nano_11,139925561562192
startup,resnet50-preprocessing,rockpi_2,139925561595312
setup,resnet50-preprocessing,rockpi_2,139925561595312
finish,resnet50-preprocessing,rockpi_2,139925561595312
