value,function_name,node_name,replica_id
deploy,resnet50-inference,tx2_0,139838904608352
deploy,resnet50-training,nx_5,139838904619792
deploy,mobilenet-inference,coral_2,139838904624912
deploy,speech-inference,rpi4_18,139838905873552
deploy,resnet50-preprocessing,rpi4_19,139838901043888
startup,mobilenet-inference,coral_2,139838904624912
setup,mobilenet-inference,coral_2,139838904624912
finish,mobilenet-inference,coral_2,139838904624912
startup,speech-inference,rpi4_18,139838905873552
setup,speech-inference,rpi4_18,139838905873552
finish,speech-inference,rpi4_18,139838905873552
startup,resnet50-preprocessing,rpi4_19,139838901043888
setup,resnet50-preprocessing,rpi4_19,139838901043888
finish,resnet50-preprocessing,rpi4_19,139838901043888
startup,resnet50-training,nx_5,139838904619792
setup,resnet50-training,nx_5,139838904619792
finish,resnet50-training,nx_5,139838904619792
startup,resnet50-inference,tx2_0,139838904608352
setup,resnet50-inference,tx2_0,139838904608352
finish,resnet50-inference,tx2_0,139838904608352
